,ID,Xcoord,Ycoord,size,shape,cryosection_text,SampleType,Xcoord_pixel,Ycoord_pixel,Xcoord_pixel_crop,Ycoord_pixel_crop
0,M301622,12228.07868,47018.1632,5216,Elipse,G121eI104C,Positive,1101.9025243243243,4922.012073244445,451.0,525.0
1,M301626,12089.36378,48106.16384,4976,Elipse,G121eI104C,Positive,1083.1572675675675,5061.759711004444,432.0,665.0
2,M301634,12278.52954,46523.46192,5140,Elipse,G121eI104C,Positive,1108.720208108108,4858.470442168889,458.0,461.0
3,M301604,13643.37694,46727.2824,4976,Elipse,G121eI104C,Positive,1293.159045945946,4884.650050488888,642.0,488.0
4,M301633,14190.2937,47733.95594,4976,Elipse,G121eI104C,Positive,1367.0667162162163,5013.9516740711115,716.0,617.0
5,M301608,13596.36506,48006.83212,4976,Elipse,G121eI104C,Positive,1286.8060891891892,5049.001103413333,636.0,652.0
6,M301597,12159.4578,45823.12736,5306,Elipse,G121eI104C,Positive,1092.6294324324324,4768.516358684445,442.0,372.0
7,M301591,13464.0061,47206.50784,4976,Elipse,G121eI104C,Positive,1268.9197432432431,4946.2038958933335,618.0,549.0
8,M301645,12904.57932,45706.44284,4976,Elipse,G121eI104C,Positive,1193.3215297297297,4753.528880337778,542.0,357.0
9,M301639,,,,#N/A,G121eI104C,Positive,,,,
10,M301589,11919.21336,47403.24194,4976,Elipse,G121eI104C,Positive,1060.1639675675674,4971.4732980711115,409.0,574.0
11,M301582,12463.19274,46128.53866,5140,Elipse,G121eI104C,Positive,1133.6746945945947,4807.74474344,483.0,411.0
12,M301618,10880.39024,47181.58112,5216,Elipse,G121eI104C,Positive,919.7824648648649,4943.002197191112,269.0,546.0
13,M301647,12946.2991,47528.6228,4976,Elipse,G121eI104C,Positive,1198.959337837838,4987.577772977777,548.0,591.0
14,M301571,11163.68876,46464.93372,4976,Elipse,G121eI104C,Positive,958.0660486486485,4850.952820035556,307.0,454.0
15,M301580,12519.61496,45558.77052,5140,Elipse,G121eI104C,Positive,1141.299318918919,4734.561191235555,490.0,338.0
16,M301646,12938.69788,46308.37052,4976,Elipse,G121eI104C,Positive,1197.9321459459459,4830.8431467911105,547.0,434.0
17,M301609,13573.00912,48179.36018,4976,Elipse,G121eI104C,Positive,1283.649881081081,5071.161374231112,633.0,674.0
18,M301594,11274.23834,45873.3246,5306,Elipse,G121eI104C,Positive,973.005181081081,4774.963915288889,322.0,378.0
19,M301643,12939.75016,45159.48272,4976,Elipse,G121eI104C,Positive,1198.0743459459459,4683.274891591112,547.0,286.0
20,M301632,13655.3237,47737.86962,4976,Elipse,G121eI104C,Positive,1294.773472972973,5014.454364524444,644.0,617.0
21,M301606,13595.2605,47410.63834,4976,Elipse,G121eI104C,Positive,1286.6568243243244,4972.42332456,636.0,575.0
22,M301598,12544.71336,45818.00912,5306,Elipse,G121eI104C,Positive,1144.6909945945945,4767.858949191112,494.0,371.0
23,M301593,14072.68786,48229.9088,4976,Elipse,G121eI104C,Positive,1351.174035135135,5077.654063644444,700.0,681.0
24,M301599,12991.44836,45806.04194,5306,Elipse,G121eI104C,Positive,1205.0605891891892,4766.321831404445,554.0,369.0
