genome,D300769,D300820,D300821,D300822,D300823,D300824,D300825,D300826,D300827,D300828,D300829,D300830,D300831,D300832,D300833,D300834,D300835,D300836,D300837,D300838,D300839,D300840,D300841,D300842,D300843,D300844,D300845,D300846,D300847,D300848,D300849,D300850,D300851,D300852,D300853,D300854,D300855,D300856,D300857,D300858,D300859,D300860,D300861,D300862,D300863,D300864,D300865,D300866,D300867,D300868,D300869,D300870,D300871,D300872,D300873,D300874,D300875,D300876,D300877,D300878,D300879,D300880,D300881,D300882,D300883,D300884,D300885,D300886,D300887,D300888,D300889,D300890,D300891,D300892,D300893,D300894,D300895,D300896,D300897,D300898,D300899,D300900,D300901,D300902,D300903,D300904,D300905,D300906,D300907,D300908,D300909,D300910,D300911,D300912,D300913,D300914,D300915,D300916,D300917,D300918,D300919,D300920
D300820:bin_000012,0,13.737,8.674,3.699,0,4.274,0,0,1.008,0,0,0,1.692,1.407,0,7.409,0,3.262,0,0,0,0,12.578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.752,13.774,7.016,6.642,1.191,1.409,0,0,9.122,0,7.953,3.134,0,1.673,0,19.898,0.84,0,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300820:bin_000027,0,24.26,5.936,1.444,2.472,1.564,2.16,0,0,0,0,1.285,1.869,1.615,0,1.87,0,0,0,0,0,0,2.615,0,0,0,0,0,0,0,0,1.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.138,0,4.437,8.814,3.395,1.932,0,0,0,0,3.984,2.209,0,0,0,0,0,0,0,0,0,0,5.839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300821:bin_000046,0,27.929,17.961,5.649,5.184,3.446,7.674,0,2.741,0.774,0,7.23,5.045,3.142,1.624,6.454,0,2.868,0,0,0,4.656,6.74,0,0,0,1.46,5.665,4.733,7.003,0,2.074,0,0,0,0,0,0,0.892,4.106,1.95,1.516,1.365,3.236,3.06,4.715,2.664,3.341,2.278,3.333,1.442,0,3.778,4.858,6.136,1.221,2.233,3.193,0,0,11.931,0,5.695,2.353,4.692,1.443,7.755,17.492,0,0,0,0,0,0,4.291,0,1.758,5.389,1.365,0,0,0,0,0,0,0,0,0,0,2.78,2.446,5.522,3.281,4.371,6.92,11.572,5.752,11.362,4.737,5.303,3.315,2.653
D300822:bin_000003,0,0,2.076,17.614,0,12.906,5.29,0,1.029,9.034,0,4.616,0.901,0,2.008,2.718,0,3.491,0,0,0,2.519,0.955,0,0,0,1.445,1.232,0.742,4.534,0,0,0,0,0,0,0,0,2.14,1.545,3.751,5.196,10.614,0,1.74,3.397,1.902,1.533,1.622,2.079,8.957,0,9.082,0,1.792,3.259,4.043,4.743,0,1.282,2.463,0,4.409,0.702,19.13,1.907,1.565,1.63,0.718,0,0,0,0,0,2.653,0,1.892,2.609,1.541,0,0,0,0,0,0,0,0,0,0,1.826,5.337,6.247,1.974,0,6.902,3.552,8.725,9.702,2.361,4.828,2.397,3.783
D300822:bin_000007,0,52.62,194.187,52.199,22.527,38.359,65.761,0,0,0,0,49.376,59.018,2.799,5.348,54.458,0,0,0,0,0,0,0,0,0,0,17.872,11.874,6.094,3.975,0,4.922,0,0,0,0,0,0,0,36.828,48.565,29.41,95.848,7.831,128.31,227.551,12.855,44.779,8.392,2.029,7.04,0,36.831,198.224,66.658,93.456,6.355,0,0,0,22.46,0,0,10.854,0,25.554,1.969,9.706,0,0,0,0,0,0,3.708,0,0,2.604,14.396,0,0,0,0,0,0,0,0,0,0,0,7.331,37.504,134.339,3.087,69.054,104.235,356.607,17.151,18.275,7.892,3.263,7.674
D300822:bin_000008,0,37.991,18.183,80.838,21.611,13.545,5.832,1.368,12.37,0,0,2.292,0,3.615,4.806,14.987,0,5.618,0,0,0,6.495,15.011,0,0,0,3.476,7.904,10.883,19.626,0,1.218,0,0,0,0,0,0,0,14.228,7.676,3.803,9.715,22.194,8.025,21.826,7.674,6.096,2.252,3.711,4.656,0,17.45,18.104,17.707,28.653,4.558,3.68,0,0,11.842,0,6.656,4.179,7.73,5.606,8.525,37.605,0,0,0,0,0,0,4.534,0,6.851,10.706,4.182,0,0,0,0,0,0,0,0,0,0,8.725,4.323,24.112,21.916,4.51,4.696,30.932,28.882,7.359,6.588,4.261,1.796,3.575
D300823:bin_000008,0,51.436,22.933,14.269,12.342,5.107,5.663,0,7.587,1.047,0,10.051,6.232,2.071,2.731,12.992,1.449,6.976,0,0,0,10.545,19.788,0,0,0,4.72,8.305,6.104,16.463,0,1.7,0,0,0,0,0,0,0,5.898,2.023,3.68,4.418,9.08,1.778,5.683,7.765,1.992,1.8,6.098,2.579,0,13.533,16.321,11.958,7.254,3.119,5.951,0,0,12.954,0,8.61,4.585,5.811,3.315,6.675,22.891,1.15,0,0,0,0,0,4.565,0,2.448,18.465,3.168,0,0,0,0,0,0,0,0,0,0,9.796,8.018,10.041,6.387,3.913,7.776,21.743,5.462,9.376,3.002,8.451,3.768,6.828
D300825:bin_000011,0,32.684,14.632,9.88,0,2.164,36.986,0,0,0,0,0,6.004,0,0.962,7.283,0,7.489,0,0,0,0,1.516,0,0,0,0,1.169,2.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.146,0.685,1.659,0,0.968,0,0.678,11.676,26.289,10.378,0.669,0,0,0,2.738,0,0,0,0,6.192,0,7.968,0,0,0,0,0,0,0,0,0,4.902,0.94,0,0,0,0,0,0,0,0,0,0,1.974,0,1.191,5.427,0,0.754,2.353,0,2.59,0.889,0,0,0
D300827:bin_000019,0,6.264,0,0,0,1.355,0,0,12.489,3.599,0,0,0,6.505,0,0,0,2.256,0,0,0,0,0,0,0,0,2.155,7.951,2.357,0,0,2.873,0,0,0,0,0,0,0,3.358,8.153,2.957,1.003,0,1.767,1.935,0,3.479,0,10.36,1.176,0,0.933,4.999,4.142,0,0,2.11,0,0,0,0,1.016,0,1.272,0,0,0,0,0,0,0,0,0,1.597,0,0,5.095,0.794,0,0,0,0,0,0,0,0,0,0,1.72,29.88,8.276,0,16.723,0,0,0,4.177,2.269,0,0,0
D300830:bin_000023,0,0,0,0,0,0,0,0,0,0,0,78.559,32.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.048,0,0,0,0,0,0,0,0.975,0,0,0,0,0.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.061,0,10.326,0,1.273,0,2.22,0,0,0
