genome,D300663,D300664,D300634,D300637,D300642,D300647,D300626,D300644,D300673,D300643,D300633,D300638,D300636,D300635,D300648,D300625,D300641,D300666,D300665,D300645,D300640,D300646,D300639,D300670
D300627:bin_000003,16.625,4.576,17.096,5.202,2.531,8.806,1.946,2.703,0,5.454,6.205,10.219,12.159,9.781,4.06,6.471,7.154,2.712,3.618,4.178,8.137,2.353,3.885,5.403
D300627:bin_000012,4.792,1.824,4.995,3.725,0,0,0,0,0,1.628,1.346,0,3.241,5.777,4.18,3.084,9.766,1.617,0.923,0,11.858,0,14.24,1.233
D300628:bin_000004,4.355,6.299,2.157,1.228,0,0,0,2.969,0,0,0,4.516,0,3.442,4.863,1.165,1.116,1.092,1.168,0,1.605,0,1.274,6.937
D300629:bin_000002,6.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.711,0,0,1.358,1.67
D300630:bin_000014,57.101,35.951,76,64.304,14.283,57.042,14.234,11.489,0,28.665,34.481,77.776,105.238,38.507,30.082,42.234,48.917,10.618,18.146,49.917,29.699,9.649,27.365,20.386
D300631:bin_000002,6.339,16.604,13.807,12.282,16.763,11.764,10.469,6.808,0,11.124,6.793,7.611,15.179,9.986,24.174,10.868,33.006,8.118,6.265,17.788,48.326,2.327,10.099,11.8
D300631:bin_000019,1.058,1.673,1.733,0,1.723,2.097,0,0,0,1.012,0.922,1.813,1.734,2.773,1.447,0,1.544,0,1.058,1.052,3.912,1.499,0,1.623
D300632:bin_000002,0,1.352,0,0,0,0,0,0,0,0,0,2.558,0,0,0,0,0.882,0,0,0,0,0,0.79,0
D300632:bin_000015,4.604,4.878,7.7,2.939,8.338,6.565,0,0,0,11.007,5.675,11.126,4.036,0.695,0.772,6.727,5.2,0.998,1.988,3.594,13.783,0,2.656,15.936
D300633:bin_000005,19.94,11.975,14.537,12.887,4.929,5.669,2.62,2.708,0,5.709,23.516,14.431,15.695,8.509,3.361,16.739,13.371,2.45,4.085,1.946,9.723,2.101,0.682,8.126
D300633:bin_000006,10.215,4.848,9.204,11.029,13.037,3.851,1.541,0.581,0,5.548,13.026,6.519,9.169,4.251,2.455,4.951,4.975,1.158,2.571,1.598,7.315,7.551,1.326,4.968
D300634:bin_000017,25.304,3.738,20.691,11.462,3.958,9.502,2.206,1.464,0,7.478,10.095,10.879,20.803,7.581,8.737,4.005,8.409,1.694,3.986,0,9.862,1.83,1.436,2.465
