genome,D300242,D300243,D300244,D300245,D300246,D300247,D300248,D300249,D300250,D300251,D300252,D300253,D300254,D300255,D300256,D300257,D300258,D300259,D300260,D300261,D300262,D300263,D300264,D300265
D300242:bin_000001,21.157,13.144,9.543,77.455,2.913,1.024,14.348,0.833,0.959,1.018,3.25,3.969,2.349,1.94,22.883,3.95,31.948,4.41,11.553,1.88,7.084,9.837,0,6.067
D300242:bin_000002,67.417,30.83,35.569,20.213,127.604,34.776,30.676,22.768,71.303,116.351,32.563,117.753,8.482,36.896,71.466,5.929,86.729,124.175,166.65,112.521,23.912,40.642,7.37,67.567
D300242:bin_000003,18.593,0.991,2.568,0,21.895,11.762,1.006,1.179,2.638,23.03,6.781,11.397,1.037,1.699,16.66,0,12.75,14.74,16.5,7.855,0,1.194,0,9.189
D300242:bin_000023,33.257,35.839,30.672,21.297,30.054,16.714,16.469,15.337,31.105,28.913,22.546,43.926,39.029,24.865,24.201,17.413,36.153,49.857,36.707,27.221,28.91,28.485,5.155,30.613
D300242:bin_000025,15.463,2.783,3.143,1.178,2.774,11.804,0,3.954,2.709,16.881,14.779,16.248,4.589,3.216,43.733,2.091,11.954,5.955,3.626,8.304,5.593,1.631,0,13.987
D300243:bin_000004,7.641,15.632,8.606,8.415,9.501,7.43,7.238,11.702,10.711,16.189,8.168,5.36,8.992,5.615,8.902,8.351,9.829,9.099,11.676,7.445,9.527,7.176,1.583,5.108
D300243:bin_000028,21.333,19.106,88.063,34.261,2.956,34.699,34.255,15.645,14.165,9.962,63.15,12.898,116.188,21.869,5.91,96.308,31.512,8.659,3.044,6.384,82.159,9.777,52.689,4.382
D300243:bin_000041,8.22,24.032,7.642,7.437,8.049,9.615,10.35,14.803,5.997,25.078,11.818,7.202,10.778,9.137,27.925,4.901,8.489,7.976,9.46,23.738,15.45,7.921,0,10.499
D300243:bin_000043,3.257,19.186,5.346,11.777,0,14.163,11.843,14.895,6.072,0,14.165,0,18.913,8.908,0,27.379,1.822,0,0,0,30.109,15.505,21.261,0
D300244:bin_000018,7.838,5.393,14.691,3.155,3.177,6.56,5.343,3.949,3.833,4.45,3.949,1.695,3.567,4.458,6.162,4.7,7.938,1.691,0.899,4.82,6.026,5.11,3.187,1.449
D300244:bin_000021,1.436,8.555,16.68,10.305,0,22.383,31.011,22.96,0,0,22.546,1.958,8.118,3.685,2.783,10.793,0,0.965,0,0,66.011,11.731,9.07,0
D300244:bin_000028,2.07,4.594,17.294,0.954,7.4,3.172,2.403,3.693,7.439,1.905,1.106,2.096,1.83,3.877,3.254,2.447,3.306,2.483,0.905,0.933,2.127,2.677,1.004,1.799
