genome,D300630,D300654,D300628,D300655,D300661,D300627,D300668,D300671,D300631,D300650,D300658,D300651,D300660,D300657,D300653,D300659,D300656,D300662,D300667,D300629,D300649,D300632,D300652,D300669
D300627:bin_000003,4.206,8.315,3.155,1.029,10.863,23.827,4.558,5.287,5.608,15.518,10.831,25.195,10.124,5.68,7.427,5.034,6.695,6.872,37.227,3.774,16.758,6.383,13.589,5.545
D300627:bin_000012,3.67,10.254,5.534,1.502,4.705,16.055,7.742,5.731,6.537,6.813,3.866,12.901,2.826,5.42,8.052,3.944,2.356,3.756,7.796,4.2,6.578,6.092,5.152,3.39
D300628:bin_000004,0.678,7.187,13.335,0,6.198,7.201,2.54,26,0.59,2.018,5.065,45.375,8.935,6.443,0.91,13.128,0,2.25,26.51,1.382,1.154,2.035,0.618,3.612
D300629:bin_000002,1.878,0,0,0,0,0,0,0,0,0,1.727,1.704,16.951,2.607,1.266,2.923,0,0,0,43.896,0,0,0,0
D300630:bin_000014,147.92,53.939,54.724,7.33,136.416,110.312,41.627,53.255,67.032,83.405,55.509,86.294,67.788,20.429,40.101,40.225,44.715,49.787,89.91,32.759,60.629,57.12,55.995,37.298
D300631:bin_000002,5.962,38.973,10.041,0,12.53,19.976,23.052,18.894,30.438,10.298,3.797,60.84,13.002,20.755,11.594,69.224,28.022,16.646,22.19,23.011,18.561,34.193,14.925,9.335
D300631:bin_000019,2.763,1.237,0,0,1.844,0,0,1.842,7.806,1.03,0,1.479,1.265,0,0,1.579,0,0.974,1.419,0,0,0.917,1.074,0
D300632:bin_000002,0,0,0,0,0,0,0,0,0,0,0,0,0.969,0,0,0,0,1.243,0,0,0,11.936,0,0
D300632:bin_000015,8.861,1.272,4.021,12.764,6.291,2.659,2.475,4.345,3.645,0,4.085,8.357,5.52,2.714,2.561,3.562,10.421,2.002,1.037,1.382,2.909,7.648,1.688,1.784
D300633:bin_000005,11.258,33.519,4.867,9.415,14.934,20.929,11.714,20.809,13.149,23.142,8.368,18.149,9.926,2.957,6.849,9.613,13.337,6.088,24.928,8.306,18.56,9.104,16.043,4.132
D300633:bin_000006,4.972,6.123,5.234,3.307,3.786,11.832,3.912,2.99,7.681,7.327,6.005,3.684,2.373,0,6.778,2.173,3.525,1.933,6.48,2.812,4.013,2.357,7.79,2.199
D300634:bin_000017,15.375,12.991,5.657,0,25.048,8.059,2.348,5.473,12.364,18.655,15.561,5.355,8.43,0,4.869,11.216,2.725,7.624,10.443,8.298,5.254,13.153,8.624,4.819
D300634:bin_000019,0,0,0,0,0,0,1.167,0,0,0,0,0.729,0,0,0.761,0,0,0,0,0,0,0,0,0
D300634:bin_000035,10.32,1.331,3.967,14.129,5.756,2.744,2.217,4.289,3.634,0,4.072,7.79,4.702,2.563,2.499,3.382,11.563,2.052,1.326,1.283,2.874,4.148,1.628,1.646
