genome,D300693,D300694,D300695,D300696,D300697,D300698,D300699,D300700,D300701,D300702,D300703,D300704,D300705,D300706,D300707,D300708,D300709,D300710,D300711,D300712,D300713,D300714,D300715,D300716,D300717,D300718,D300719,D300720,D300721,D300722,D300723,D300724,D300725,D300726,D300727,D300728,D300729,D300730,D300731,D300732,D300733,D300734,D300735,D300736,D300737,D300738,D300739,D300740,D300741,D300742,D300743,D300744,D300745,D300746,D300747,D300748,D300749,D300750,D300751,D300752,D300753,D300754,D300755,D300756,D300757,D300758,D300759,D300760,D300761,D300762,D300763,D300764,D300765,D300766,D300767
00:bin_000002,3.069,4.745,5.228,11.413,0,0,0,0,0,0,0,0,1.666,0,0,4.393,2.941,8.05,2.339,4.13,2.458,1.773,0,0,0,0,2.525,0,0,0,1.242,0,0,0,0.676,0,0.725,1.084,1.278,0,0.947,0,0,0,0,0,0,0,0,0,0,0,0,0,1.329,0,0,1.016,1.817,0.566,1.986,0,0,0.917,0.848,1.489,2.301,1.874,2.157,1.517,1.017,2.361,2.454,1.652,0
00:bin_000004,4.215,3.282,2.299,2.622,0,0,0,0,0,0,0,0,0,0,0,2.261,2.995,2.339,3.85,3.117,0.6,0.577,0,0,0,0,5.497,0,0,0,0,0,0,0,0.81,0,0,0.611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.432,2.715,0.643,0.759,5.22,3.908,2.114,0.793,6.495,3.897,0,0,0,0,0,0,0.908,0.739,0,0,0
00:bin_000007,1.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.981,0.625,0.955,0,4.835,0,0,0,0,0,0,0,0,0,0,0,0,0,1.119,0,0,0,3.128,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0
00:bin_000010,0,1.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.592,4.049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.029,0,0,0,0,0,0,5.594,1.127,0,0,0.821,0,0,0,0
00:bin_000015,12.864,1.755,0.753,1.393,0,0,0,0.66,0,0,0,0,3.258,5.608,0,8.96,0.72,0,8.323,0,1.055,7.992,0,0,0,0.53,1.388,0,4.443,0,6.348,0,0,0.637,0,0,4.907,9.277,0.61,0,0.999,0,0,0,0,0,0,0,0,0,0,0,0,0,1.223,0.964,2.985,0.513,5.915,1.389,2.899,0.623,1.926,8.132,3.109,0.886,2.84,2.238,9.592,4.139,5.403,1.189,2.437,5.04,0
00:bin_000024,1.533,0.601,3.529,0.951,0,0,0,0.652,0,0,0,0,0.812,1.076,0,3.57,1.133,1.429,2.717,4.396,0.764,2.541,0,0,0,0,1.467,0,0.774,0,1.39,0.578,0,0.916,1.074,0,1.122,2.02,2.146,0,2.834,0,0,0,0,0,0,0,0,0,0,0,0,0,2.399,0.949,0,1.391,3.349,2.819,1.216,0,2.356,2.435,1.711,2.508,2.631,1.642,1.023,1.358,1.125,0.649,2.152,0.916,0
00:bin_000030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.696,0,0,0,0.845,0,0,0,0,0,4.032,5.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000037,2.055,0,0.526,1.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.406,1.728,1.096,0.924,0,0,0,0,0,0,0,0,0.666,0,0,0,0,0,0,0.745,0.732,0,0.695,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923,4.959,0,0,1.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000040,0,0,3.087,2.143,0,0,0,0,0,0,0,0,0,0,0,0.65,0,1.026,1.142,1.843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0.635,0,0,0,0.868,0,0,0,0,0,0,0,0
00:bin_000043,0,0,0,0,0,0,0,0.844,0,0,0,0,0,0,0,0,0,0,0.891,0,1.132,3.952,0,0,0,0,1.094,0,0,0,0,0,0,1.886,2.216,0,0.613,1.218,0,0,0.781,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,3.639,0,0,0,0.751,1.373,0.613,0.627,0,0,0,0,0,0,0,0.858,0
00:bin_000048,3.571,1.07,0,2.08,0,0,0,0,0,0,0,0,3.693,1.141,0,0.592,3.816,0.634,0,3.857,0,1.021,0,0,0,0,0.547,0,0.816,0,2.852,0,0,0.833,1.088,0,0,0,0.665,0,1.163,0,0,0,0,0,0,0,0,0,0,0,0,0,1.629,0,0,0,0,8.295,0,0.693,1.072,0.693,0,0.747,0.991,1.921,0.561,0.649,0,1.925,0.594,1.077,0
