ID,Xcoord,Ycoord,size,shape,cryosection_text,SampleType,Xcoordpixel,Ycoordpixel
M302866,14281.61,19309.73,5140.0,Elipse,G005bI205A,Positive,302,319
M302868,14356.43,19656.83,5140.0,Elipse,G005bI205A,Positive,316,375
M302869,14311.87,20030.98,5140.0,Elipse,G005bI205A,Positive,308,435
M302870,14654.54,20735.48,5140.0,Elipse,G005bI205A,Positive,366,548
M302871,14656.74,21281.34,5140.0,Elipse,G005bI205A,Positive,366,635
M302872,14556.52,21705.38,5140.0,Elipse,G005bI205A,Positive,350,704
M302873,14822.51,22282.27,5140.0,Elipse,G005bI205A,Positive,395,796
M302874,15900.97,22392.15,4976.0,Elipse,G005bI205A,Positive,576,814
M302875,15891.51,21901.85,4976.0,Elipse,G005bI205A,Positive,575,735
M302876,15932.61,21295.32,4976.0,Elipse,G005bI205A,Positive,582,638
M302877,16323.60,20719.53,4976.0,Elipse,G005bI205A,Positive,648,545
M302878,16503.78,20091.35,4976.0,Elipse,G005bI205A,Positive,679,444
M302879,16600.24,19499.85,4976.0,Elipse,G005bI205A,Positive,695,349
M302881,16200.82,18629.75,4976.0,Elipse,G005bI205A,Positive,628,210
M302882,14734.41,18982.45,5140.0,Elipse,G005bI205A,Positive,380,266
M302883,14915.84,19441.81,5140.0,Elipse,G005bI205A,Positive,410,340
M302884,15424.76,20019.86,5140.0,Elipse,G005bI205A,Positive,496,432
M302886,15658.26,21642.25,5140.0,Elipse,G005bI205A,Positive,535,694
M302887,15344.70,22146.11,5140.0,Elipse,G005bI205A,Positive,482,774
M302888,15479.34,22426.00,5140.0,Elipse,G005bI205A,Positive,505,819
M302889,15482.65,22668.86,5140.0,Elipse,G005bI205A,Positive,506,858
M302890,13801.30,20868.85,4976.0,Elipse,G005bI205A,Positive,221,569
M302891,15447.80,20492.10,4976.0,Elipse,G005bI205A,Positive,500,509
M302893,15914.04,19587.30,4976.0,Elipse,G005bI205A,Positive,579,364
M302894,15871.76,18838.45,4976.0,Elipse,G005bI205A,Positive,571,242
M302898,13834.43,20744.56,4976.0,Elipse,G005bI205A,Positive,228,549
M302899,14184.48,20967.98,4976.0,Elipse,G005bI205A,Positive,286,585
M302900,15145.55,20830.38,4976.0,Elipse,G005bI205A,Positive,449,562
M302901,16764.78,20523.39,4976.0,Elipse,G005bI205A,Positive,722,514
M302902,16197.24,19386.42,4976.0,Elipse,G005bI205A,Positive,626,331
M302904,15617.07,18610.82,4976.0,Elipse,G005bI205A,Positive,529,206
M302905,16948.03,19399.34,4976.0,Elipse,G005bI205A,Positive,754,334
M302906,15907.46,19052.72,5140.0,Elipse,G005bI205A,Positive,578,278
M302907,15922.36,19336.30,5140.0,Elipse,G005bI205A,Positive,580,322
M302908,15930.41,19866.02,5140.0,Elipse,G005bI205A,Positive,581,408
M302909,16422.25,20404.97,5140.0,Elipse,G005bI205A,Positive,665,495
M302910,16250.61,21033.51,5140.0,Elipse,G005bI205A,Positive,635,595
M302911,15443.60,20605.44,5140.0,Elipse,G005bI205A,Positive,499,526
M302912,14899.72,19825.09,5140.0,Elipse,G005bI205A,Positive,408,401
M302962,12139.32,45767.52,4815.0,Elipse,G005bI205B,Positive,660,670
M302963,12158.37,45264.12,4815.0,Elipse,G005bI205B,Positive,662,590
M302964,12293.82,44723.13,4815.0,Elipse,G005bI205B,Positive,686,502
M302966,12301.18,44035.92,4815.0,Elipse,G005bI205B,Positive,688,392
M302967,12326.09,43551.23,4815.0,Elipse,G005bI205B,Positive,691,315
M302968,11400.77,42978.67,4815.0,Elipse,G005bI205B,Positive,535,222
M302969,10942.68,42676.62,4815.0,Elipse,G005bI205B,Positive,458,174
M302970,10375.60,42998.72,5140.0,Elipse,G005bI205B,Positive,362,226
M302971,10692.08,43263.51,5140.0,Elipse,G005bI205B,Positive,415,269
M302972,10741.83,44046.19,5140.0,Elipse,G005bI205B,Positive,424,394
M302973,9744.07,44448.63,5140.0,Elipse,G005bI205B,Positive,255,459
M302974,10290.00,45496.83,5140.0,Elipse,G005bI205B,Positive,348,628
M302976,10434.70,46242.11,5140.0,Elipse,G005bI205B,Positive,372,746
M302977,10954.48,45806.49,5140.0,Elipse,G005bI205B,Positive,460,676
M302978,11707.59,43111.50,4976.0,Elipse,G005bI205B,Positive,588,244
M302979,11662.02,43755.96,4976.0,Elipse,G005bI205B,Positive,579,348
M302980,11262.25,44677.91,4976.0,Elipse,G005bI205B,Positive,511,495
M302981,11165.82,45193.97,4976.0,Elipse,G005bI205B,Positive,495,579
M302982,11619.26,45600.82,4976.0,Elipse,G005bI205B,Positive,572,644
M302983,11768.97,45353.12,4976.0,Elipse,G005bI205B,Positive,598,604
M302984,11791.83,44107.57,4976.0,Elipse,G005bI205B,Positive,601,404
M302986,10659.03,45720.80,5140.0,Elipse,G005bI205B,Positive,410,662
M302988,11880.30,44907.39,5140.0,Elipse,G005bI205B,Positive,616,532
M302989,10616.36,44443.34,5140.0,Elipse,G005bI205B,Positive,402,458
M302990,9894.30,45943.61,5140.0,Elipse,G005bI205B,Positive,281,699
M302991,10862.13,45381.22,5140.0,Elipse,G005bI205B,Positive,444,609
M302992,10973.76,46299.00,5140.0,Elipse,G005bI205B,Positive,462,756
M302993,11092.71,46579.69,5140.0,Elipse,G005bI205B,Positive,482,801
M302994,10396.57,44180.18,5051.0,Elipse,G005bI205B,Positive,365,415
