genome,M303064,M303070,M303066,M303068,M303069,M303062,M303085,M303059,M303103,M303083,M303097,M303079,M303061,M303090,M303081,M303086,M303075,M303100,M303073,M303091,M303080,M303084,M303099,M303098,M303094,M303087,M303072,M303104,M303067,M303077,M303063,M303060,M303095,M303078,M303105,M303101,M303076,M303089,M303093,M303058,M303082,M303096
D300418:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300418:bin_000013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300428:bin_000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300430:bin_000010,0,0,0,0,0,0,0,0,4.031,0,0,0,2.216,0,0,0,0,0,7.096,4.594,0,0,0,0,0,0,0,0,3.567,0,0,0,0,0,4.382,0,0,2.523,0,0,0,0
D300432:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300435:bin_000001,2.298,6.079,0,3.499,0,0,0,1.822,9.703,1.603,0,2.209,4.541,4.493,1.836,3.658,3.472,1.677,14.786,14.512,2.585,3.252,0,0,0,2.037,1.685,10.232,8.53,2.784,0,3.396,0,4.737,9.662,2.848,0,7.112,1.821,2.427,0,1.499
D300442:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300442:bin_000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300443:bin_000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300443:bin_000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300444:bin_000010,5.903,11.068,0,7.763,0,0,0,5.183,22.981,2.893,0,2.948,9.605,11.812,9.174,5.24,5.671,3.511,34.839,25.726,3.114,11.591,0,0,0,3.767,3.872,24.597,20.559,4.812,0,6.08,0,7.072,15.889,7.685,0,10.854,2.54,7.468,0,3.795
D300452:bin_000016,12.493,25.588,0,11.746,0,0,0,12.158,37.268,3.805,0,5.86,17.015,24.916,15.747,7.571,8.897,8.526,58.971,37.895,4.924,15.504,0,0,0,8.045,5.501,27.178,34.853,9.803,0,9.775,0,15.772,25.126,11.665,0,21.903,7.317,8.647,0,7.117
D300458:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300462:bin_000001,29.181,50.456,0,27.797,0,0,0,26.746,81.39,8.554,0,17.769,38.398,50.649,34.354,22.239,27.803,21.409,131.493,91,15.266,44.505,0,0,0,17.457,12.767,80.577,83.968,26.396,0,24.612,0,37.846,64.485,27.175,0,51.231,20.229,24.197,0,18.691
D300472:bin_000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300474:bin_000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300475:bin_000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300479:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300479:bin_000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300481:bin_000002,36.076,58.27,0,33.897,0,0,0,23.833,83.266,8.738,0,15.775,42.477,58.447,26.765,16.699,32.127,19.198,143.563,98.745,14.837,41.502,0,0,0,17.292,17.646,81.313,72.054,28.393,0,31.004,0,39.569,58.766,28.424,0,48.777,16.188,24.176,0,17.519
D300482:bin_000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300491:bin_000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300492:bin_000003,3.164,6.523,0,3.469,0,0,0,3.229,9.961,0,0,1.724,6.141,4.244,4.325,4.349,2.909,2.744,11.162,8.453,1.09,4.584,0,0,0,2.521,0,10.837,9.278,3.506,0,4.937,0,4.816,7.474,3.746,0,6.334,2.223,3.09,0,0
D300493:bin_000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300499:bin_000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300500:bin_000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300506:bin_000004,22.468,81.635,0,20.722,0,0,0,25.233,95.469,5.992,0,14.238,27.017,29.423,24.551,21.219,24.961,23.283,80.264,116.868,10.621,28.339,0,0,0,16.665,20.734,70.138,58.303,16.766,0,29.817,0,40.421,75.637,22.068,0,26.819,17.864,26.111,0,11.62
D300509:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300511:bin_000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
