genome,M303163,M303180,M303174,M303173,M303168,M303189,M303182,M303196,M303190,M303154,M303181,M303198,M303158,M303188,M303177,M303162,M303166,M303157,M303183,M303200,M303161,M303178,M303192,M303175,M303172,M303165,M303170,M303199,M303195,M303185,M303164,M303191,M303193,M303160,M303176,M303201,M303159,M303194,M303169,M303155,M303179,M303187
D300418:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300418:bin_000013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300428:bin_000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300430:bin_000010,0,2.616,0,0,0,0,0,0,1.934,0,0,0,0,0,0,4.381,2.248,0,0,0,0,0,0,0,0,0,0,0,3.023,0,0,0,3.281,0,0,0,0,2.77,0,0,2.672,0
D300432:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300435:bin_000001,2.081,5.297,0,0,4.405,0,2.114,9.058,7.532,0,1.736,5.241,2.291,4.114,3.464,7.249,4.545,5.863,2.248,6.818,5.665,1.711,2.027,0,1.489,6.105,3.38,2.835,8.066,3.838,4.844,2.352,9.949,0,1.082,3.977,0,9.792,3.663,5.057,5.935,5.08
D300442:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300442:bin_000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300443:bin_000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300443:bin_000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300444:bin_000010,7.693,10.239,0,0,8.1,0,4.058,9.126,9.944,0,4.774,11.117,6.137,15.614,7.075,17.354,8.351,14.323,4.164,9.204,8.166,2.639,3.251,0,4.454,14.076,4.063,6.664,14.382,6.031,10.828,6.205,19.187,0,1.953,5.685,0,10.778,6.492,8.225,9.364,9.13
D300452:bin_000016,10.315,14.391,0,0,12.125,0,6.228,16.58,17.746,0,9.035,13.868,10.795,24.131,9.5,28.537,11.618,25.015,6.408,18.247,14.231,5.223,4.646,0,7.007,21.23,9.273,10.161,24.833,9.76,14.199,13.29,30.319,0,3.405,12.662,0,19.764,10.201,16.242,15.747,18.216
D300458:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300462:bin_000001,35.511,47.545,2.523,1.324,31.198,1.848,13.658,45.389,54.152,1.887,24.775,40.605,34.832,53.266,28.513,65.443,36.788,63.595,16.955,44.804,36.925,15.255,11.023,0,20.878,57.363,22.949,32.205,73.66,25.882,36.945,24.894,88.819,0,6.494,33.314,0,50.161,30.465,38.603,39.981,41.092
D300472:bin_000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300474:bin_000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300475:bin_000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300479:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300479:bin_000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300481:bin_000002,27.055,43.682,1.159,0,34.706,0,10.781,39.919,40.707,1.51,21.064,42.022,26.157,42.878,23.805,65.691,31.599,57.708,16.47,40.949,34.962,15.896,10.855,0,17.071,42.004,22.269,32.708,69.94,27.501,34.007,22.795,77.271,0,8.522,34.639,0,48.669,35.56,38.542,41.968,40.029
D300482:bin_000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300491:bin_000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300492:bin_000003,3.216,7.098,0,0,5.278,0,1.58,2.847,4.329,0,2.23,3.717,3.275,5.945,1.789,6.241,3.418,5.995,2.134,3.839,7.299,1.919,0,0,1.922,7.716,2.234,2.608,7.078,4.004,4.513,3.84,11.072,0,0,3.886,0,8.57,3.689,5.316,4.899,3.937
D300493:bin_000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300499:bin_000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300500:bin_000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300506:bin_000004,30.842,48.928,0,0,34.451,0,10.895,24.963,40.438,0,27.876,24.447,32.595,53.128,19.495,59.329,42.662,77.844,14.454,34.951,34.024,15.013,13.963,0,14.764,54.288,34.764,18.66,48.574,20.85,43.942,14.399,61.624,0,14.827,28.567,0,48.659,32.73,23.913,58.964,31.166
D300509:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
