genome,M301986,M301966,M301991,M301987,M301975,M301960,M301988,M301973,M301977,M301981,M301992,M301997,M301982,M301980,M301971,M301961,M301970,M301994,M301965,M301962,M301978,M301954,M301967,M301990,M301955,M301996,M301998,M301957,M301985,M301976,M301995,M301969,M301979,M301956,M301974,M301959,M301989,M301983,M301968,M302001,M301964,M301999
D300418:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300418:bin_000013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300428:bin_000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300430:bin_000010,3.993,0,2.455,1.593,2.95,4.536,3.67,4.718,2.94,5,2.482,2.535,2.035,6.632,3.354,0,7.02,5.372,1.404,2.891,2.385,1.377,6.318,2.476,4.316,0,3.733,2.21,2.847,4.386,3.279,4.416,4.977,0,2.103,3.532,0.889,1.282,3.915,1.345,2.562,1.54
D300432:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300435:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300442:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300442:bin_000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300443:bin_000002,6.545,0.785,4.967,3.068,4.332,3.239,5.669,5.844,6.64,6.186,3.373,4.626,1.873,6.089,5.424,0,4.58,2.266,2.586,3.704,2.455,4.082,6.694,4.297,5.586,0,8.019,5.926,3.568,3.767,2.826,2.858,4.376,0,3.601,4.361,4.301,3.111,5.035,0.849,2.835,1.63
D300443:bin_000003,0,0,0,0,0,0,0,0,0,0.877,0,0,0,3.328,0,0,0,1.865,0,0.904,2.162,0,1.996,0,1.45,0,2.025,0.821,3.003,0,1.96,1.526,4.099,0,0,0,0,0,1.421,0,0,0
D300444:bin_000010,7.238,1.307,3.309,2.52,4.393,5.959,3.836,5.863,5.546,7.154,3.864,4.782,2.238,6.055,3.207,0.833,5.06,4.121,2.542,4.477,3.88,2.973,9.789,3.338,6.16,0,8.405,2.575,6.063,2.438,5.321,5.889,6.317,0,3.601,4.429,2.205,1.942,4.75,1.14,3.816,2.587
D300452:bin_000016,20.703,3.222,12.875,6.51,10.133,8.063,13.753,13.981,15.265,18.45,12.702,15.094,6.58,22.065,9.984,1.84,12.041,9.984,8.502,10.887,9.015,4.848,22.599,11.34,15.837,1.128,25.29,9.287,13.815,11.257,11.855,13.207,16.975,0,8.285,11.344,6.402,6.435,15.501,3.598,10.17,5.49
D300458:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300462:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300472:bin_000003,0,0,0,0,0,0,0,0,0,0,0,0,0,1.746,0,0,0,0.871,0,0,0,0,0,0,0,0,0.927,0,1.325,0,0.786,0.814,1.559,0,0,0,0,0,0,0,0,0
D300474:bin_000012,117.93,25.395,146.217,42.984,58.801,69.088,73.32,70,86.11,127.479,76.644,69.313,30.748,77.349,55.321,7.783,64.328,53.225,47.08,39.843,63.262,45.276,121.026,74.216,58.216,4.478,99.174,37.772,73.636,23.835,41.322,57.192,72.91,0,43.288,48.502,37.697,20.375,56.95,11.259,51.016,25.039
D300475:bin_000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300479:bin_000001,43.476,5.341,23.16,20.83,17.515,12.054,21.393,18.39,19.135,26.074,13.167,14.528,5.441,17.16,15.436,0.92,15.324,9.22,13.346,13.028,10.444,6.852,35.178,10.529,18.859,1.63,37.928,13.504,24.022,8.772,18.644,19.502,21.561,0,18.968,22.789,9.952,10.691,16.938,4.289,14.46,9.047
D300479:bin_000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300481:bin_000002,4.297,0.905,2.561,1.643,2.518,2.935,3.854,2.617,3.854,2.729,3.204,3.477,2.486,4.091,2.857,0,3.028,2.738,1.573,2.142,2.576,1.237,5.562,2.615,3.129,0,6.667,2.429,3.324,2.585,3.681,2.854,3.431,0,2.451,2.837,2.559,1.552,4.02,0.756,1.592,1.24
D300482:bin_000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300491:bin_000003,16.272,3.554,9.112,9.624,10.703,7.877,12.44,10.84,14.675,12.956,9.903,11.194,6.313,13.164,7.74,1.844,9.994,6.074,8.104,6.994,5.501,4.094,17.92,9.566,9.25,2.263,16.581,5.633,8.597,7.38,10.289,8.203,10.056,0,8.751,10.953,5.052,6.206,11.004,2.18,7.173,4.571
D300492:bin_000003,50.498,11.031,28.207,18.809,26.458,29.49,35.232,26.813,34.458,50.223,33.808,29.428,14.35,46.132,24.877,2.609,40.396,21.355,18.567,28.648,21.901,11.933,65.361,25.885,34.44,1.874,59.583,26.915,35.258,17.522,29.388,22.822,47.235,0,26.305,35.165,17.848,19.749,43.367,9.066,22.448,10.826
D300493:bin_000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300499:bin_000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
