genome,M302071,M302081,M302050,M302097,M302059,M302067,M302072,M302073,M302061,M302070,M302074,M302080,M302051,M302082,M302094,M302068,M302093,M302075,M302062,M302092,M302058,M302053,M302078,M302056,M302055,M302084,M302054,M302085,M302091,M302065,M302069,M302057,M302096,M302088,M302063,M302083,M302076,M302090,M302086,M302079,M302060,M302087
D300418:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300418:bin_000013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300428:bin_000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300430:bin_000010,1.161,1.623,0,1.508,0,1.614,0,1.082,1.225,1.75,2.429,0,1.201,1.487,1.416,0,1.001,1.304,0,1.356,1.593,1.828,0,1.901,1.443,1.908,2.094,0.846,1.615,1.791,1.519,1.873,0,1.392,0,1.716,1.152,1.914,0,1.546,2.175,2.396
D300432:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300435:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694,0,0,0
D300442:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300442:bin_000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300443:bin_000002,38.512,69.239,15.81,22.062,16.583,18.842,0,28.75,26.776,43.727,41.675,0,12.476,24.512,30.689,14.5,21.686,21.458,9.903,44.49,27.339,49.632,30.122,36.999,30.469,20.922,23.756,13.933,32.538,43.672,37.253,46.356,12.815,44.683,9.939,33.698,21.928,22.716,28.106,22.83,43.366,38.993
D300443:bin_000003,2.902,1.564,0.879,1.22,1.175,2.031,0,2.641,1.421,2.101,2.144,0,1.877,2.649,1.609,1.897,1.992,1.051,0.828,3.395,2.53,1.452,1.13,2.713,2.272,2.247,2.78,0.897,1.958,2.589,2.356,2.934,1.12,3.704,0,2.537,1.463,2.455,1.587,1.537,3.569,2.44
D300444:bin_000010,5.19,4.518,3.933,2.849,3.85,4.733,0,4.018,4.685,6.641,3.889,0,1.976,3.396,4.056,2.371,3.138,3.135,1.491,5.832,4.521,6.25,5.306,6.079,6.623,3.152,5.043,2.525,4.827,5.559,4.853,5.902,1.529,5.637,2.08,4.727,4.49,3.949,4.574,2.875,6.573,4.73
D300452:bin_000016,11.998,12.993,5.239,7.24,6.226,11.487,0,11.255,10.424,14.664,12.091,0,7.151,9.439,9.817,4.69,8.269,8.07,5.109,14.41,11.912,17.291,12.567,15.576,12.412,9.991,10.786,5.329,10.769,14.178,12.416,20.347,4.573,13.983,5.348,14.019,9.275,12.652,11.362,6.679,16.888,12.452
D300458:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300462:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300472:bin_000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300474:bin_000012,90.555,33.214,47.768,22.066,44.697,47.715,0,93.035,59.52,84.89,80.366,0,11.574,67.018,23.796,17.395,23.484,88.328,9.623,68.63,44.347,92.984,62.75,100.238,89.218,64.799,40.454,26.267,49.068,55.078,42.353,98.536,24.978,80.648,9.805,39.387,44.247,14.251,81.834,27.476,97.833,50.415
D300475:bin_000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300479:bin_000001,5.481,6.335,7.895,4.548,4.58,8.337,0,5.208,4.88,9.504,8.321,0,4.585,9.272,8.274,5.599,8.327,3.326,2.462,6.614,9.548,10.169,5.73,9.366,3.41,6.91,4.006,2.632,8.157,8.628,11.508,6.292,1.867,6.636,3.954,8.212,4.905,14.371,4.928,4.716,7.823,9.704
D300479:bin_000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300481:bin_000002,2.889,7.222,0.906,1.936,1.062,3.676,0,2.894,2.465,4.201,3.032,0,1.555,2.928,3.717,1.603,2.279,1.193,0,2.574,2.901,4.572,2.603,3.083,2.972,2.015,2.722,1.183,2.548,4.053,3.28,3.875,1.08,3.05,1.554,3.917,1.9,3.947,2.392,1.427,3.842,3.976
D300482:bin_000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300491:bin_000003,15.237,15.551,8.086,6.477,6.977,8.521,0,12.068,9.628,18.231,9.952,0,9.461,7.718,9.098,6.645,7.484,9.073,3.928,13.821,10.061,13.2,9.404,11.645,12.111,9.362,10.833,6.241,10.467,14.968,11.531,15.483,4.709,11.611,3.598,12.426,10.142,8.467,11.391,5.448,16.945,10.958
D300492:bin_000003,21.201,22.811,10.894,12.457,9.033,17.377,0,19.158,17.471,25.752,21.34,0,13.889,12.916,19.972,6.955,11.101,14.676,4.317,21.326,15.452,29.746,20.264,24.549,17.109,10.763,23.239,7.342,19.396,25.47,21.799,28.92,8.707,23.018,5.308,18.14,9.684,19.824,17.083,11.171,28.528,21.176
D300493:bin_000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300499:bin_000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
