genome,M302570,M302555,M302547,M302536,M302560,M302532,M302577,M302552,M302542,M302572,M302545,M302539,M302541,M302530,M302576,M302562,M302534,M302561,M302571,M302553,M302533,M302556,M302540,M302546,M302538,M302549,M302535,M302565,M302566,M302543,M302554,M302550,M302568,M302564,M302537,M302563,M302575,M302557,M302569,M302559,M302551,M302574
D300418:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300418:bin_000013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300428:bin_000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300430:bin_000010,0,1.726,1.834,2.386,1.556,3.213,2.01,0,0,1.817,0,1.343,4.915,3.187,2.187,2.956,1.704,0,2.881,1.61,1.465,3.712,1.149,2.163,2.479,1.604,2.199,1.405,1.202,3.338,0,2.013,2.34,0,0,1.235,0.959,1.606,2.079,2.107,1.256,1.51
D300432:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300435:bin_000001,2.926,3.196,3.666,4.215,4.334,8.051,5.061,0,1.93,6.273,0,3.465,11.615,6.112,4.291,7.094,5.062,0,5.48,5.526,4.308,10.066,3.094,6.133,8.577,3.229,7.059,2.757,3.867,7.033,0,5.226,5.131,2.534,0,3.342,2.518,3.505,4.708,6.064,2.945,2.401
D300442:bin_000001,0,0,0,1.538,0,0,0,0,0,0,0,0,0,1.212,0,0.98,0.881,0,0,0,1.015,0.881,0,3.509,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300442:bin_000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300443:bin_000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300443:bin_000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300444:bin_000010,5.878,5.433,8.104,11.645,10.413,15.671,10.561,0,3.088,11.19,0,8.118,22.444,11.729,9.108,12.318,10.944,0,10.622,12.203,10.137,17.27,6.52,8.901,16.779,7.25,15.784,6.791,7.975,12.776,0,9.091,12.907,4.214,0,6.113,5.706,7.972,10.175,11.078,6.526,6.253
D300452:bin_000016,17.453,16.027,24.893,34.677,28.85,45.327,26.691,0,9.961,35.781,0,23.982,68.593,38.307,28.882,41.952,28.897,0,35.575,33.713,30.57,56.557,19.269,28.785,49.065,21.052,45.147,22.281,23.446,37.244,0,30.667,36.098,13.706,2.451,18.208,17.652,23.467,31.078,37.588,20.46,17.717
D300458:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300462:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300472:bin_000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300474:bin_000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300475:bin_000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300479:bin_000001,3.203,5.322,5.03,8.174,7.049,12.003,4.516,0,2.566,7.328,0,6.44,19.227,11.498,5.571,7.207,5.848,0,13.288,7.354,5.101,20.575,2.927,6.87,19.194,3.6,10.21,5.036,3.917,9.701,0,6.519,9.221,3.65,0,3.275,7.601,7.581,5.94,9.125,5.373,3.794
D300479:bin_000005,6.192,5.855,9.521,14.662,12.369,16.442,9.62,0,3.463,12.455,0,9.186,25.365,14.152,9.203,15.969,9.811,0.76,11.674,13.386,11.833,23.01,7.199,9.806,21.043,8.487,20.1,8.15,9.89,15.367,0,10.425,14.124,5.191,0,6.185,8.195,8.88,12.025,12.273,7.388,7.613
D300481:bin_000002,22.331,20.511,29.552,41.718,41.957,62.635,39.184,0,8.792,53.528,0,31.165,92.844,56.068,37.488,59.525,38.716,0,46.943,45.766,37.634,73.03,24.05,35.622,61.304,33.193,60.577,30.131,29.188,53.039,0,39.897,46.4,19.476,2.886,20.82,22.67,31.105,44.223,43.95,28.506,24.63
D300482:bin_000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300491:bin_000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300492:bin_000003,1.453,0,2.013,3.291,2.926,4.036,1.898,0,0.831,3.051,0,1.805,5.624,2.983,2.357,8.692,3.072,0,2.803,3.331,2.2,5.351,0,2.446,4.79,2.354,3.208,1.968,1.718,3.18,0,2.043,2.982,0,0,1.373,2.187,3.273,2.757,3.162,1.859,0
D300493:bin_000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300499:bin_000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300500:bin_000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
