genome,M305542,M305634,M305636,M305535,M305537,M305557,M305547,M305610,M305548,M305647,M305608,M305613,M305538,M305638,M305533,M305536,M305637,M305652,M305516,M305544,M305517,M305618,M305515,M305528,M305531,M305628,M305607,M305620,M305622,M305520,M305653,M305554,M305611,M305510,M305527,M305511,M305524,M305614,M305630,M305525,M305632,M305534,M305645,M305555,M305633,M305616,M305514,M305627,M305615,M305629,M305530,M305619,M305643,M305521,M305532,M305546,M305552,M305650,M305649,M305623,M305641,M305621,M305519,M305549,M305642,M305556,M305513,M305644,M305648,M305541,M305539,M305625,M305639,M305545,M305635,M305523,M305609,M305550,M305551,M305624,M305646,M305606,M305529,M305518
D300627:bin_000003,1.535,4.375,11.461,1.37,3.771,1.587,0,2.968,0,3.795,30.135,8.127,4.586,23.834,0,1.407,10.74,31.847,1.637,0,2.006,3.159,0,1.483,0,11.173,0,12.657,7.798,1.869,9.127,2.281,16.893,1.411,3.31,1.204,0,14.717,1.858,1.344,2.388,2.491,2.819,1.039,9.628,0,0,12.609,4.519,13.779,1.868,10.556,4.365,1.213,3.294,1.086,0,3.862,4.96,5.392,12.557,0,1.507,1.942,8.867,0,2.761,5.856,0,0,1.602,0,6.342,1.782,0,0,5.74,1.879,1.269,8.491,4.498,17.891,2.873,1.276
D300627:bin_000012,0,2.235,3.545,0,1.183,0,0,0,0,0,0,0,0.934,6.423,0,0,2.472,4.724,0,0,0,0,0,0,0,1.853,0,3.187,0,0,2.35,0,0,1.141,2.745,0,0,1.9,0,0,0,1.025,0,0,2.138,0,0,3.952,0,3.797,0,3.757,0,0,1.749,0,0,3.516,0,2.208,2.591,0,0,0,5.609,0,0.934,5.234,0,0,1.341,0,2.688,1.191,0,0,3.479,0,0,25.96,2.213,0,1.008,0
D300628:bin_000004,0,0,5.15,0,0,1.131,0,0,0,0,4.648,0,0,4.176,0,0,0,4.381,0,0,0,0,0,0,0,0,0,2.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,0,1.934,0,1.816,0,0,0.968,0,0,1.985,0,0,3.639,0,0,1.039,2.271,0,0.786,0,0,0,1.003,0,0,0,0,0,0,0,0,2.016,0,0,0,0
D300629:bin_000002,0,0,0,0,0,0,0,0,0,0,0,0,0,2.485,0,0,2.353,3.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.764,0,0,0,0,2.31,0,0,0,0,0,0,2.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300630:bin_000014,10.469,14.973,39.694,4.673,14.329,5.352,0,8.556,3.943,12.376,98.401,25.356,12.242,79.844,2.362,9.334,27.724,82.458,5.685,2.678,8.25,7.065,2.322,2.927,0,23.928,0,36.08,18.185,3.452,24.293,5.926,30.343,3.739,13.162,5.807,0,43.651,5.631,4.85,6.178,7.879,12.336,2.31,28.42,0,1.043,44.222,12.307,40.294,9.568,35.245,20.395,3.128,15.835,6.319,2.297,15.973,12.251,23.929,43.009,0,4.291,7.422,26.471,2.711,8.136,21.653,3.443,4.607,7.899,0,21.48,6.545,0,0,23.587,5.375,4.187,33.578,12.463,43.884,9.397,3.105
D300631:bin_000002,0,0,0,0,1.892,0,0,1.987,0,0,8.286,4.014,1.454,3.856,0,0,3.792,6.833,0,0,1.059,0,0,0,0,0,0,3.721,3.037,0,7.465,0,10.017,0,1.609,0,0,7.213,0,1.332,0,1.726,0,0,3.167,0,0,4.143,1.945,7.877,0,4.809,1.965,0,2.119,1.17,0,4.595,0,2.834,4.098,0,0.978,0,3.005,0,0,0,0,0,0,0,0,0,0,0,2.721,0,0,3.896,2.371,10.18,1.847,0
D300631:bin_000019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.046,4.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300632:bin_000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300632:bin_000015,0,2.706,4.415,0,0,0,0,0,0,0,2.563,0,0,5.31,0,0,2.758,7.179,1.149,0,1.456,0,0,0,0,0,0,2.933,0,0,13.319,0,1.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.431,0,2.073,0,2.263,1.976,0,3.82,0,0,40.458,35.017,1.677,2.05,0,0,1.502,5.028,0,2.23,3.653,12.205,0,0,0,4.436,0,0,0,1.948,0,0.931,2.469,2.197,0,0,0
D300633:bin_000005,7.91,13.083,13.711,1.896,1.129,4.796,0,0,0,7.853,0,0,1.746,18.892,1.229,0,10.025,11.958,3.455,0.798,3.167,0,2.262,1.026,0,0,0,11.073,3.998,0,10.159,2.29,0,0,4.418,2.396,0,0,2.42,0,8.116,3.672,3.92,1.364,2.844,0,1.204,26.393,4.897,4.656,3.15,7.734,11.717,0,13.001,3.2,0,13.711,11.332,10.506,2.021,0,0,6.782,11.359,3.292,8,22.829,4.485,1,6.544,0,6.139,9.437,0,0,6.649,2.325,4.086,10.199,5.657,0,5.092,0
