genome,M305768,M305846,M305884,M305789,M305757,M305781,M305779,M305792,M305890,M305889,M305788,M305854,M305880,M305881,M305794,M305793,M305764,M305774,M305893,M305761,M305847,M305762,M305877,M305859,M305848,M305875,M305853,M305791,M305778,M305796,M305773,M305758,M305753,M305771,M305754,M305878,M305755,M305887,M305752,M305770,M305790,M305782,M305888,M305772,M305861,M305850,M305767,M305750,M305786,M305867,M305870,M305857,M305864,M305756,M305883,M305869,M305769,M305784,M305852,M305876,M305892,M305787,M305849,M305871,M305856,M305855,M305759,M305783,M305873,M305858,M305885,M305765,M305775,M305795,M305760,M305891,M305777,M305874,M305862,M305868,M305882,M305863,M305866,M305780
D300627:bin_000003,0,4.643,1.727,3.741,0,6.367,0,0,0,0,14.416,0,0,0,2.219,0,4.074,9.704,6.761,7.744,0,4.859,0,0,0,0,4.313,0,3.286,0,0,8.885,3.296,0,0,4.836,4.593,0,6.538,5.771,5.826,9.029,0,4.407,2.6,3.469,0,0,8.276,0,4.437,0,1.63,4.385,0,3.28,4.6,3.242,0,2.709,0,3.216,3.375,1.919,3.128,0,5.486,0,1.941,3.708,1.387,0,15.702,0,0,3.574,3.066,0,9.003,0,2.785,0,3.355,0
D300627:bin_000012,0,3.028,1.755,4.167,0,10.959,0,0,0,0,12.801,0,3.91,3.094,2.098,2.253,3.554,3.628,9.882,8.194,0,6.791,0,5.194,0,0,4.477,3.631,5.222,0,2.865,9.568,3.17,5.3,1.852,2.925,7.435,0,6.972,4.046,5.805,12.021,1.427,3.513,1.745,6.786,0,0,11.447,2.838,6.192,0,1.782,6.177,0,4.503,4.75,2.693,0,2.516,3.739,3.803,3.53,4.889,7.995,0,5.203,0,2.085,4.564,0,0,12.025,0,0,5.402,3.587,0,9.418,0,4.309,0,4.404,2.946
D300628:bin_000004,0,3.112,1.234,4.2,0,4.523,0,0,0,0,9.194,0,0,1.185,3.755,2.376,3.027,4.35,8.146,14.506,0,5.171,0,1.941,0,0,5.586,3.671,0,0,3.505,11.942,2.535,4.368,3.503,1.709,5.841,0,7.85,4.58,7.018,12.108,1.882,5.263,3.346,4.7,0,0,9.014,2.927,4.134,0,0,6.909,0,3.643,3.171,4.042,0,3.053,3.275,5.991,4.258,2.692,3.292,0,2.529,0,1.63,2.924,0,0,15.832,0,0,3.393,4.022,0,7.107,0,4.013,0,1.83,0
D300629:bin_000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300630:bin_000014,3.085,17.35,7.37,26.617,2.511,52.604,0,0,3.937,3.803,69.773,2.741,5.003,7.81,11.934,17.475,26.678,44.332,38.088,51.739,3.017,31.385,0,9.331,1.835,0,20.16,25.604,24.663,7.872,19.318,53.669,16.119,24.807,13.215,17.132,29.976,0,42.847,30.503,40.633,53.736,7.203,18.679,9.443,23.186,4.433,0,61.014,10.916,24.922,3.275,11.109,33.897,0,20.279,26.447,17.097,0,15.817,19.818,33.71,23.117,14.974,33.254,1.309,27.128,0,8.778,16.828,6.494,0,78.062,0,3.213,25.818,16.559,1.272,70.41,2.356,19.75,2.073,19.206,14.985
D300631:bin_000002,2.756,16.895,8.025,14.366,0,30.925,0,0,4.719,3.819,44.325,2.167,3.088,17.428,9.607,11.418,11.728,47.49,37.528,41.593,3.64,11.572,1.561,69.577,2.104,0,34.219,20.889,15.354,5.722,14.139,48.835,15.656,9.845,6.955,19.747,10.413,1.766,18.295,19.583,22.386,35.493,5.93,15.645,4.23,24.526,6.621,0,66.819,5.086,24.875,1.912,4.161,13.004,0,11.903,21.57,13.988,0,9.633,16.135,17.447,17.043,15.403,29.021,2.031,37.448,0,11.881,9.487,3.076,0,37.113,0,0,16.673,7.852,2.155,36.99,2.335,30.802,1.776,15.786,4.998
D300631:bin_000019,0,1.545,0,3.073,0,2.48,0,0,0,0,5.415,0,1.721,0,2.73,0,0,4.345,3.721,2.899,0,4.495,0,0,0,0,3.431,0,3.803,0,0,7.029,0,0,0,0,0,0,2.227,1.857,4.569,3.1,0,2.784,0,0,0,0,8.734,0,2.198,0,0,2.369,0,1.517,2.985,0,0,2.194,2.023,0,0,1.467,0,0,0,0,0,2.309,0,0,12.367,0,0,0,2.083,0,3.743,0,1.465,0,0,0
D300632:bin_000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300632:bin_000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.802,1.616,0,0,0,0,0,0,0,1.545,0,0,0,0,3.209,0,0,0,0,0,0,0,0,2.136,0,0,0,0,0,0,0,3.698,0,0,0,0,2.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.236,0,0,0,0,0,1.506,0,0,0,0,0
D300633:bin_000005,0,3.329,0,5.878,0,0,0,0,1.236,0,17.262,0,0,0,2.95,4.927,0,2.905,4.409,12.298,0,7.56,0,0,0,0,4.494,8.42,2.264,0,2.035,16.86,0,3.454,2.471,1.779,7.761,0,4.955,2.576,8.081,3.387,0,1.67,0,5.203,0,0,8.92,1.966,3.989,0,1.885,7.37,0,3.566,6.966,3.545,0,1.731,4.386,2.425,2.968,3.068,3.435,0,2.304,0,0,8.237,2.226,0,16.62,0,0,4.478,4.049,0,5.001,0.927,4.658,0,1.443,0
