genome,M304009,M303986,M303980,M303994,M303974,M304017,M303985,M303973,M304008,M304002,M303993,M303970,M303971,M303979,M304015,M304006,M303983,M303977,M303972,M303999,M303991,M303978,M303989,M303984,M303998,M303976,M303987,M304003,M304016,M304000,M304013,M303996,M303990,M304005,M304011,M303988,M304001,M303997,M304004,M304014,M303982,M304012
D300242:bin_000001,0,0,0,0,0,0,0,0,0,0,0,1.924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.117,0,0,0,0
D300242:bin_000002,5.457,0,53.554,44.871,11.652,77.362,23.417,83.141,0,0,14.29,76.234,26.314,84.47,10.494,27.16,70.962,64.709,43.767,73.133,5.36,77.231,37.209,73.976,28.828,198.946,25.36,9.058,107.171,45.929,127.239,2.154,87.249,5.114,81.316,13.337,0,239.892,41.273,97.736,17.67,21.681
D300242:bin_000003,8.131,0,41.154,87.274,6.794,10.043,11.895,95.786,0,0,2.767,99.428,15.542,70.203,19.61,13.696,12.509,41.017,5.372,25.868,4.709,49.321,11.586,25.332,17.653,50.647,10.746,1.793,49.464,45.446,128.849,0,20.828,3.519,80.064,20.235,0,180.479,7.654,42.03,4.766,4.935
D300242:bin_000023,0,0,10.533,10.228,1.978,16.533,7.005,21.658,0,0,0,21.407,3.927,24.22,3.598,2.806,13.496,14.921,5.031,11.71,0,16.864,5.07,11.871,15.521,29.703,4.326,1.812,23.408,12.5,27.794,0,22.247,0,13.602,2.995,0,66.543,6.387,19.239,3.763,7.262
D300242:bin_000025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300243:bin_000004,0,0,5.737,8.93,2.339,9.12,2.895,14.675,0,0,3.027,10.584,0,10.351,4.127,3.142,25.026,17.433,8.553,8.66,0,6.579,4.561,8.507,3.639,52.961,1.68,0,12.741,7.512,11.937,0,8.216,0,12.462,3.201,0,27.746,5.058,19.537,2.791,3.635
D300243:bin_000028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.767,0,0,0,0,0,0,0,0,5.184,0,3.23,0,0
D300243:bin_000041,0,0,21.479,4.447,0,6.052,3.443,11.282,0,0,4.989,24.219,0,5.184,12.46,1.987,7.59,12.851,4.293,15.335,0,6.726,2.228,10.96,4.306,6.46,3.345,0,13.012,6.407,18.377,0,5.197,0,7.134,3.256,0,15.632,8.83,12.985,2.141,5.724
D300243:bin_000043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300244:bin_000018,0,0,4.19,5.042,0,6.383,2.135,7.401,0,0,0,8.516,0,3.629,2.303,0,3.955,4.823,0,4.599,0,2.9,2.31,4.198,2.429,10.377,0,0,9.528,2.666,9.07,0,3.539,0,3.555,0,0,19.484,0,5.595,1.628,0
