genome,M303961,M303950,M303938,M303952,M303925,M303933,M303966,M303930,M303935,M303959,M303955,M303964,M303958,M303924,M303946,M303944,M303934,M303931,M303922,M303948,M303960,M303923,M303947,M303957,M303945,M303928,M303937,M303943,M303927,M303969,M303965,M303939,M303942,M303968,M303936,M303954,M303949,M303953,M303967,M303940,M303926,M303963
D300242:bin_000001,0,0,0,0,1.951,0,0,0,0,0,0,0,1.597,0,0,0,0,0,0,0,0,0,0,0,0,0,2.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300242:bin_000002,0,0,0,3.14,8.906,0,0,0,0,5.866,0,0,3.472,0,0,0,0,0,4.539,3.077,4.551,0,2.624,3.927,2.087,0,6.965,0,3.146,0,0,0,8.168,6.903,0,0,0,2.161,4.303,0,2.117,2.176
D300242:bin_000003,0,0,0,0,0,0,0,0,0,3.809,0,0,0,0,0,0,0,0,1.513,0,1.632,0,0,0,0,0,0,0,0,0,0,0,1.504,0,0,0,0,0,0,0,0,0
D300242:bin_000023,4.349,13.295,0,2.672,16.938,0,0,2.66,0,29.359,2.246,2.578,9.803,4.154,0,2.509,0,0,7.629,7.139,5.193,6.053,0,12.354,5.725,3.981,21.607,0,2.469,2.507,4.118,0,2.625,5.227,0,2.185,2.028,17.242,8.834,0,6.998,6.122
D300242:bin_000025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300243:bin_000004,9.681,9.419,0,5.348,12.772,0,0,4.936,0,11.617,3.406,4.115,13.449,2.801,0,3.595,0,0,18.533,6.483,4.797,5.816,0,14.248,2.453,2.691,27.205,0,6.637,4.679,3.09,0,7.289,7.35,0,2.128,0,6.805,10.766,0,8.487,9.081
D300243:bin_000028,31.781,43.417,0,24.808,101.586,2.334,2.563,27.925,0,138.051,22.689,25.369,45.992,17.744,0,20.245,0,1.521,84.851,40.851,23.782,10.908,4.784,79.875,38.308,17.286,180.157,4.016,48.181,23.052,24.015,0,49.1,45.475,0,19.743,4.638,57.508,30.939,0,46.405,45.282
D300243:bin_000041,3.383,7.377,0,5.188,9.843,0,0,5.418,0,14.542,2.349,3.037,12.3,1.384,0,0,0,0,11.326,7.486,3.583,4.796,0,6.791,4.549,2.859,11.779,0,8.276,1.648,4.869,0,3.333,3.066,0,0,4.724,8.467,12.252,0,4.409,4.724
D300243:bin_000043,7.353,6.536,0,6.167,10.403,0,0,5.301,0,17.791,4.031,2.065,7.361,3.793,0,4.054,0,0,9.557,4.067,3.097,3.428,0,13.17,2.18,7.341,21.143,0,3.122,2.404,8.318,0,3.173,4.771,0,1.567,4.616,13.05,4.619,0,9.733,3.889
D300244:bin_000018,9.273,7.769,0,4.337,15.894,0,0,5.714,0,21.045,4.537,3.23,9.854,4.428,0,4.143,0,0,10.04,5.753,4.422,18.093,0,19.317,8.497,6.741,23.828,0,5.009,3.539,7.736,1.674,4.121,4.914,0,4.714,2.992,15.413,6.517,0,8.545,2.571
