genome,M304752,M304781,M304768,M304766,M304741,M304783,M304751,M304757,M304763,M304776,M304778,M304747,M304779,M304759,M304772,M304784,M304756,M304745,M304755,M304760,M304744,M304767,M304773,M304750,M304758,M304769,M304765,M304775,M304782,M304786,M304762,M304748,M304753,M304754,M304785,M304764,M304746,M304777,M304771,M304740,M304787,M304742
00:bin_000002,2.481,3.246,0,0,10.306,0,11,6.514,2.69,27.812,0,7.796,14.69,6.365,30.391,9.29,0,14.323,0,0,22.644,0,4.131,4.168,0,0,6.866,0,9.929,17.93,7.93,4.449,0,1.26,5.289,0,0,0,6.585,0,12.011,0
00:bin_000004,1.951,11.68,0,31.426,21.804,0,38.293,7.26,30.239,27.024,0,23.589,24.594,22.497,42.532,19.443,0,41.064,17.188,7.209,56.313,0,8.043,52.708,2.226,0,5.989,0,26.515,29.366,10.696,15.664,6.936,5.068,9.606,7.507,0,0,11.749,1.786,35.96,0
00:bin_000007,0,0,0,0,0,0,0,0,1.622,0,0,0,2.3,0,0,0,0,3.002,0,0,3.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000010,0,0,0,0,0,0,2.123,0,0,3.571,0,0,2.398,0,0,0,0,0,0,0,0,0,0,1.922,0,0,0,0,1.797,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000015,0,0,0,0,0,0,4.209,0,1.819,6.675,0,5.77,3.202,1.996,5.36,0,0,8.192,4.396,1.798,9.772,0,0,0,0,0,1.522,0,1.713,2.419,4.235,0,0,1.603,1.751,0,0,0,0,0,6.108,0
00:bin_000024,0,0,0,0,0,0,0,0,0,2.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
