genome,M304182,M304167,M304283,M304263,M304301,M304277,M304202,M304273,M304271,M304207,M304306,M304204,M304164,M304294,M304280,M304300,M304298,M304206,M304305,M304299,M304276,M304184,M304183,M304170,M304179,M304177,M304265,M304191,M304193,M304210,M304198,M304292,M304194,M304275,M304267,M304259,M304185,M304205,M304188,M304196,M304295,M304261,M304304,M304163,M304197,M304262,M304284,M304302,M304200,M304168,M304173,M304175,M304208,M304172,M304260,M304290,M304186,M304286,M304281,M304187,M304181,M304288,M304166,M304266,M304270,M304297,M304190,M304274,M304176,M304195,M304291,M304282,M304171,M304285,M304272,M304203,M304178,M304169,M304287,M304201,M304279,M304269,M304189,M304296
00:bin_000002,0,3.359,6.111,0,14.6,7.324,4.492,12.412,0,0,0,7.819,0,2.837,0,0,8.293,0,0,5.33,0,0,30.407,0,0,0,0,7.997,28.804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.262,0,0,0,16.186,0,0,0,0,0,0,0,0,4.326,8.629,0,0,0,0,0,2.176,5.849,0,0,0,2.498,0,0,7.298,0,0,11.167,0,0,0,0,0,0,0,2.098,5.249
00:bin_000004,21.811,5.993,7.788,3.134,10.224,14.989,6.448,9.007,0,14.753,15.086,16.351,43.048,2.037,16.679,15.289,13.739,0,16.146,7.762,18.718,9.346,0,3.109,0,14.122,0,0,5.082,0,7.283,66.615,0,0,0,0,10.153,4.893,15.33,11.195,0,5.321,12.524,6.77,0,7.831,11.626,5.738,8.409,0,0,0,0,0,0,0,5.957,0,6.375,11.815,0,0,1.04,19.144,3.368,6.991,0,5.199,12.921,12.607,0,9.403,8.004,10.504,19.706,0,0,0,20.116,0,0,0,1.755,16.357
00:bin_000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000015,24.303,12.589,12.551,7.031,11.562,19.302,8.887,14.444,0,14.382,18.787,10.627,0,2.967,16.404,20.492,21.727,0,6.633,13.58,7.303,9.671,6.393,8.467,0,14.574,0,8.647,13.251,8.048,6.118,0,0,7.668,4.202,11.461,16.56,8.999,15.67,16.243,0,8.086,8.694,9.435,0,9.039,24.981,0,11.303,0,0,0,0,0,7.795,0,15.498,14.043,20.366,32.927,12.194,11.302,1.205,14.945,6.063,21.642,0,9.618,5.079,15.653,0,7.903,14.22,9.356,15.382,0,0,6.731,12.961,0,0,5.616,4.331,19.208
00:bin_000024,0,4.781,0,0,0,2.644,0,0,0,4.798,0,0,0,0,2.49,0,0,0,0,0,0,0,4.341,4.916,0,7.284,0,0,2.955,4.176,0,0,0,0,0,0,8.466,0,0,3.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.698,0,0,0,0,0,0,1.183,3.873,0,0,0,0,0,0,0,0,0,7.412,0,0,0,4.246,0,0,0,0,0
00:bin_000030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000037,0,0,0,0,9.082,7.073,0,0,0,0,0,0,0,1.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.626,0,2.702,0,0,0,2.199,0,0,0,0,2.287,0,0,0,0,0,0,0,4.856,0,0,0,0,0,0,0,0,0,0,3.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000040,0,2.092,0,3.035,0,0,0,4.521,0,0,6.383,0,0,0,0,0,5.856,0,0,0,0,0,0,2.237,0,0,0,0,3.103,0,2.507,0,0,0,1.453,20.104,0,0,0,0,0,7.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.081
00:bin_000043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.664,0,0,0,0,1.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.047,0,0,0,0,0,0,0,0,2.976
00:bin_000077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000122,0,0,0,0,0,2.784,0,0,0,3.486,0,0,0,0,0,0,0,0,0,0,0,4.898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000129,0,0,0,0,0,0,0,3.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.164,0,0,0,0,0,1.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.221,0,0,0,0,1.382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000162,0,3.269,18.862,0,5.317,4.686,4.052,6.26,0,0,0,0,0,0,2.78,0,0,0,0,12.812,0,0,6.997,2.225,0,0,0,0,10.507,0,10.579,0,0,0,3.414,0,5.741,0,5.104,1.839,0,0,0,0,0,0,5.623,0,18.115,0,0,0,0,0,0,0,3.714,0,3.575,0,0,0,0,8.515,5.374,0,0,0,2.855,0,0,4.067,0,0,10.356,8.641,0,0,13.462,0,0,2.854,2.107,2.565
00:bin_000163,0,0,0,0,0,0,0,0,0,0,0,0,0,2.608,0,0,0,0,0,0,0,0,0,2.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000171,0,0,0,0,0,0,0,2.466,0,5.008,0,0,0,1.287,0,0,0,0,0,0,0,4.616,0,0,0,0,0,0,2.852,0,0,0,0,8.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.789,0,0,0,0,3.488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000198,0,0,0,3.551,6.479,0,0,0,0,0,0,0,0,0,0,6.353,0,0,0,0,11.976,0,0,2.742,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.306,0,0,0,1.87,0,0,0,0,0,0,6.712,0,3.663,0,0,5.293,0,0,0,0,0,0,0,0,0
00:bin_000200,6.842,0,0,0,0,0,7.072,4.589,0,8.344,0,13.944,17.119,1.397,3.728,10.083,8.545,0,0,4.632,11.73,0,4.674,0,0,9.501,0,0,3.37,0,0,29.227,0,0,1.388,0,5.117,0,5.694,7.913,0,0,0,0,0,3.033,6.253,5.607,0,0,0,0,0,0,0,0,3.86,0,11.816,15.332,0,0,0,19.768,2.977,3.696,0,0,0,4.416,0,0,0,0,10.469,0,0,3.619,9.078,0,0,0,1.009,6.475
00:bin_000204,7.654,7.9,0,0,0,3.016,0,0,0,5.746,5.806,12.04,0,0,2.947,0,0,0,0,5.413,0,4.914,8.293,5.457,0,0,0,0,4.698,0,0,0,14.327,0,0,0,14.581,0,0,2.153,0,5.372,0,13.155,0,7.996,0,0,0,0,0,0,0,0,2.596,0,0,0,3.681,31.129,0,12.45,0,0,45.971,0,0,0,0,0,0,4.849,0,0,0,0,0,0,24.548,0,0,3.328,2.75,0
00:bin_000205,0,0,0,0,0,4.567,0,0,0,0,4.479,0,0,0,3.015,0,0,0,0,0,0,7.429,0,0,0,0,0,0,1.372,0,6.572,0,0,0,1.107,0,0,0,0,0,0,0,0,0,0,4.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.424,0,9.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.437,2.673
00:bin_000212,0,8.189,0,0,6.526,6.015,6.774,4.532,0,0,0,0,0,0,0,0,11.506,0,0,8.298,0,15.702,0,0,0,0,0,0,8.109,4.755,3.499,0,0,0,4.012,0,0,0,5.718,9.031,0,0,0,0,0,12.963,0,6.165,0,0,0,0,0,0,2.627,0,10.126,0,4.004,0,0,0,0,2.536,5.587,4.953,0,0,5.326,0,0,0,0,0,7.14,0,0,4.533,23.544,0,0,0,4.378,14.038
00:bin_000217,0,2.51,4.549,0,5.926,0,5.316,0,0,0,0,0,0,1.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.783,0,0,0,0,0,0,0,0,3.792,0,0,0,0,6.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.489,0,0
00:bin_000221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.721,0,0,0,0,0,0,0,0,0,6.642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000232,0,2.614,0,0,0,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.456,0,0,0,0,0,0,1.862,4.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.023,0,0,0,0,0,0,0,0,0,0,0,0,5.464,0,0,0,0,0,7.046
00:bin_000238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000241,0,0,0,0,0,0,0,0,0,0,0,0,0,1.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000243,0,0,5.838,0,0,3.036,0,15.585,0,0,0,5.687,0,0,0,0,0,0,0,4.567,0,0,0,0,0,0,0,13.922,10.276,0,3.59,0,0,0,1.666,0,0,0,3.227,8.637,0,0,0,0,0,2.713,0,7.482,0,0,0,0,0,0,1.856,0,4.43,0,0,0,0,0,1.517,0,4.863,4.826,0,0,8.703,0,0,0,0,0,0,0,0,4.235,0,0,0,2.793,1.495,2.888
00:bin_000285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000287,6.426,2.137,4.999,0,5.328,4.573,7.917,4.917,0,5.994,13.627,6.25,0,0,4.102,0,6.334,0,0,5.415,3.576,0,0,3.41,0,0,0,0,4.587,0,14.314,0,0,0,2.269,0,4.458,0,7.029,5.266,0,12.529,5.407,0,0,3.361,11.657,0,6.135,0,0,0,0,0,1.625,0,2.782,0,5.07,11.319,0,0,0,5.982,0,11.918,0,0,0,6.114,0,0,6.144,0,4.656,0,0,3.782,5.324,3.607,0,0,3.178,5.064
00-TM1:bin_000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.869,0,0,0,0,0,0,0,0,1.791,0,0,0,0,0,0,0,0,0,0,0,0,0,3.631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-TM1:bin_000022,8.493,4.678,5.396,0,4.47,7.513,0,4.363,0,5.291,0,0,0,2.555,5.245,0,0,0,0,6.843,5.687,4.917,6.08,4.377,0,0,0,0,4.99,0,4.704,0,0,0,2.372,0,0,0,5.096,3.41,0,0,0,0,0,4.483,7.612,6.265,0,0,0,0,0,0,0,0,5.708,0,0,0,0,0,0,5.669,0,5.462,0,11.326,0,9.873,0,0,5.996,0,6.448,0,0,5.774,7.247,0,0,5.731,1.101,4.111
