genome,M304800,M304804,M304824,M304818,M304799,M304826,M304797,M304830,M304793,M304831,M304829,M304795,M304823,M304832,M304794,M304827,M304796,M304788,M304798,M304835,M304792,M304812,M304810,M304822,M304813,M304821,M304809,M304803,M304814,M304807,M304833,M304817,M304819,M304825,M304802,M304828,M304808,M304811,M304790,M304791,M304815,M304805
00:bin_000002,2.737,1.631,5.017,0,4.344,0,0,0,27.025,0,0,6.621,7.667,0,1.885,0,4.984,5.839,3.11,11.43,2.392,0,3.104,4.99,24.51,0,0,19.14,3.991,0,14.86,6.142,0,0,7.997,0,2.974,17.861,8.713,8.25,2.57,2.855
00:bin_000004,2.286,3.506,0,0,15.824,2.274,0,0,17.16,0,0,23.268,8.243,0,2.15,0,4.212,5.993,8.25,7.057,0,3,3.321,4.105,20.492,14.934,0,4.725,8.496,3.463,3.84,27.634,0,0,6.933,0,3.975,10.244,13.299,16.673,0,2.358
00:bin_000007,0,0,0,0,0,0,0,0,2.045,0,0,3.964,0,0,0,0,0,0,0,2.193,0,0,0,0,2.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000024,0,0,0,0,2.774,0,0,0,3.283,0,0,2.855,0,0,0,0,0,0,0,4.149,0,0,0,0,4.996,0,0,0,0,2.156,0,0,0,0,2.213,0,2.364,5.044,2.841,0,0,2.752
00:bin_000030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000037,0,0,3.59,0,0,0,0,0,12.447,0,0,0,4.316,0,0,0,0,0,0,0,0,0,0,0,6.027,0,0,0,0,0,0,0,0,0,3.365,0,0,4.434,8.326,2.322,0,0
00:bin_000040,0,0,0,0,8.181,0,0,0,7.596,0,0,7.328,2.393,0,0,0,0,4.145,4.075,3.343,0,0,0,0,9.891,0,0,0,0,2.249,3.852,2.297,0,0,6.522,0,0,0,18.844,0,2.255,3.193
00:bin_000043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000057,0,0,0,0,0,0,0,0,3.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.908,0,0,0,0,0,2.511,0,0,0,0,0,0,0,2.384,0,0,2.75
00:bin_000065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000067,0,0,0,0,0,0,0,0,2.754,0,0,0,2.286,0,0,0,0,0,0,2.002,0,0,0,0,3.468,0,0,0,0,0,0,0,0,0,2.108,0,0,0,2.208,0,0,1.444
00:bin_000077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.669,0,0,0
00:bin_000123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000162,2.433,2.429,10.168,0,7.003,0,2.504,0,19.564,0,0,24.659,11.222,0,3.419,0,3.567,3.271,3.029,13.199,1.324,4.284,0,7.909,31.47,7.561,0,11.533,10.09,4.633,13.268,6.439,0,0,6.503,0,1.687,5.69,13.437,8.108,2.275,10.355
00:bin_000163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000167,0,0,0,0,0,0,0,0,2.633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000171,0,2.649,2.797,0,20.045,0,0,0,15.663,0,0,19.01,5.625,0,1.678,0,3.665,8.333,8.199,12.146,1.44,2.08,1.661,2.907,47.504,4.08,0,5.804,3.703,5.261,12.114,6.469,0,0,4.732,0,0,16.27,25.189,4.486,4.058,8.026
