genome,M304898,M304903,M304892,M304908,M304895,M304921,M304917,M304910,M304920,M304928,M304886,M304890,M304891,M304907,M304906,M304893,M304911,M304909,M304919,M304930,M304885,M304900,M304922,M304884,M304901,M304897,M304918,M304931,M304924,M304923,M304929,M304914,M304926,M304927,M304905,M304899,M304889,M304915,M304888,M304896,M304912,M304902
00:bin_000002,7.036,0,16.734,17.812,3.327,0,5.477,0,4.039,0,3.962,0,0,0,2.34,13.213,12.549,11.485,0,3.778,5.571,17.336,5.853,39.555,7.26,0,11.414,12.231,9.957,0,2.934,7.443,19.945,6.212,3.11,10.672,0,0,5.337,3.863,2.13,0
00:bin_000004,12.275,0,18.743,14.489,0,0,3.511,0,1.677,2.303,1.94,0,0,2.332,0.98,14.074,0,4.404,0,10.611,2.998,3.005,12.545,23.121,14.499,0,6.463,2.084,5.903,1.773,2.609,6.768,12.124,5.676,0,12.679,0,0,0,4.17,0,0
00:bin_000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000024,2.493,0,4.23,2.481,2.282,0,1.641,0,0,0,0,0,0,0,0,2.375,0,0,0,0,1.639,0,0,9.715,1.672,0,1.683,3.919,4.713,0,0,2.627,4.932,0,0,0,0,0,0,1.913,0,0
00:bin_000030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000037,1.746,0,3.529,0,0,0,2.436,0,0,0,0,0,0,0,0.717,2.907,0,0,0,7.521,3.028,2.596,0,7.1,0,0,2.416,4.561,3.694,0,1.826,2.64,3.134,0,0,3.827,0,0,0,0,0,0
00:bin_000040,7.024,0,7.502,2.63,0,0,2.547,0,0,0,0,0,0,0,0,3.295,1.938,0,0,0,5.263,0,0,12.737,4.649,0,10.255,2.531,5.753,0,18.798,5.009,4.213,2.748,0,3.694,0,0,0,0,3.248,0
00:bin_000043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.003,0,0,0,0,1.594,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000057,1.958,0,2.099,0,0,0,0,0,0,0,0,0,0,0,0,2.036,0,0,0,0,2.048,1.816,0,3.599,1.765,0,0,0,3.606,0,0,0,2.528,0,0,3.245,0,0,0,0,0,0
00:bin_000065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000067,1.968,0,3.542,0,0,0,0.863,0,0,0,0,0,0,0,0,0,0,0,0,2.859,2.015,0,0,4.605,2.433,0,1.759,3.536,3.507,0,0,1.697,4.018,0,0,0,0,0,0,0,0,0
00:bin_000077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
