genome,M304956,M304944,M305029,M305061,M305067,M304940,M305030,M305046,M305038,M305068,M304959,M305047,M304961,M305071,M305075,M305055,M304943,M305032,M305058,M305054,M304974,M304955,M304965,M304979,M304972,M305041,M305028,M304978,M304936,M304966,M304941,M305074,M305036,M304938,M304977,M304937,M305053,M305063,M305066,M305064,M304947,M304950,M305049,M304960,M304949,M304953,M305059,M304967,M305031,M304948,M304957,M305069,M305033,M304935,M304932,M305051,M304934,M305060,M305035,M304968,M305040,M304954,M305073,M305056,M304975,M305048,M304970,M305043,M305037,M305042,M304973,M305065,M304963,M304964,M304971,M304952,M305044,M304939,M304942,M305050,M305052,M305070,M304962,M304945
00:bin_000002,0,0,2.093,2.025,0,0,0,0,2.359,2.627,3.593,0,7.47,1.695,6.268,0,0,1.673,0,2.146,3.415,0,3.05,3.845,6.474,2.482,3.347,0,0,0,2.512,4.681,5.661,2.477,3.361,4.989,3.135,7.863,2.148,0,4.441,5.1,3.223,3.036,6.421,2.543,4.747,4.099,4.232,2.595,3.947,2.321,6.813,0,0,2.479,0,2.166,0,0,0,4.507,0,4.651,0,0,5.115,0,0,7.237,64.965,3.069,0,0,3.043,15.981,0,0,3.267,6.107,0,3.13,7.472,14.65
00:bin_000004,0,1.786,4.084,0,0,0,0,0,2.601,0,0,2.784,4.373,1.714,2.005,0,0,0,0,0,0,0,1.992,0,3.957,0,0,0,0,0,0,2.833,0,0,2.31,4.594,0,0,0,0,10.247,0,0,4.131,2.541,0,0,0,0,3.846,0,0,0,3.285,0,0,0,0,0,0,4.491,4.857,0,1.681,0,0,4.646,0,0,1.981,0,0,0,4.738,0,0,0,0,0,2.039,0,0,3.033,6.631
00:bin_000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000015,5.618,2.684,8.135,10.284,6.747,13.704,7.298,6.041,6.608,13.107,28.878,8.268,22.675,9.938,3.969,3.063,6.49,5.488,0,10.009,6.937,6.398,15.282,9.049,18.907,4.358,2.724,4.131,0,0,7.736,21.181,11.982,8.764,13.273,13.702,12.806,9.123,8.631,5.78,20.456,24.539,21.358,13.995,26.28,17.677,9.647,10.507,11.71,34.506,22.134,7.827,8.243,11.505,0,10.539,8.283,6.453,6.344,0,2.621,30.617,0,10.981,7.433,6.796,18.805,0,7.925,7.113,22.69,5.553,15.831,13.518,2.961,25.742,5.966,5.651,7.504,33.379,0,14.142,18.287,42.225
00:bin_000024,2.741,0,0,2.657,1.896,0,2.524,0,2.244,3.774,7.169,2.54,6.312,2.711,1.964,1.749,2.678,2.031,0,2.938,2.087,1.901,3.397,3.785,2.597,1.722,7.056,0,0,0,2.944,7.943,2.111,2.992,0,6.985,0,4.952,2.384,3.064,6.537,3.993,2.968,3.882,4.338,3.014,7.012,4.119,4.609,0,3.668,2.712,1.68,5.283,0,2.913,0,0,0,0,0,6.163,0,2.78,0,2.47,8.673,0,3.95,2.613,0,0,3.957,4.445,0,4.628,4.204,2.556,2.935,5.917,0,3.598,4.225,12.172
00:bin_000030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000040,0,0,1.894,0,0,3.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
