genome,M304413,M304514,M304423,M304540,M304537,M304516,M304531,M304515,M304524,M304522,M304440,M304449,M304445,M304512,M304532,M304545,M304422,M304535,M304525,M304519,M304526,M304414,M304428,M304420,M304513,M304448,M304538,M304544,M304446,M304409,M304447,M304417,M304430,M304444,M304403,M304436,M304501,M304435,M304511,M304528,M304431,M304521,M304508,M304542,M304419,M304536,M304443,M304426,M304502,M304408,M304404,M304437,M304546,M304504,M304434,M304427,M304407,M304529,M304416,M304439,M304518,M304442,M304411,M304543,M304506,M304507,M304421,M304415,M304534,M304517,M304499,M304523,M304418,M304429,M304503,M304410,M304406,M304500,M304441,M304541,M304432,M304530,M304510,M304425
00:bin_000002,0,3.024,3.998,1.106,2.987,5.097,2.843,2.62,2.04,4.089,0,3.881,5.38,2.273,3.023,2.655,0,0,5.627,7.013,4.452,4.896,3.781,3.278,2.032,1.865,1.591,1.449,3.312,4.237,5.718,2.336,5.437,6.674,0,0,2.204,0,2.969,4.422,0,1.586,0,3.384,4.868,2.333,4.125,3.84,1.521,2.08,7.172,0,2.559,2.106,3.401,2.61,0,2.655,0,46.864,5.091,5.097,5.636,1.166,2.662,5.027,7.787,5.156,0,2.165,5.008,3.793,3.065,2.651,1.09,2.706,3.249,2.643,2.576,0,7.258,3.59,3.446,2.758
00:bin_000004,0,11.197,21.985,6.042,5.573,12.205,7.306,9.821,4.899,7.605,6.495,9.617,11.982,18.134,5.416,3.596,0,0,4.982,9.891,4.024,20.749,12.558,8.177,2.836,10.941,3.713,4.616,9.615,10.596,13.576,9.801,6.763,6.362,8.897,0,5.687,8.227,7.747,1.928,0,2.708,0,5.849,10.005,16.773,19.432,7.434,3.244,5.911,18.299,0,7.505,3.072,8.038,5.012,0,3.818,5.387,318.653,2.264,8.517,9.757,1.827,4.53,22.423,7.784,4.616,15.368,7.484,9.057,12.057,6.528,6.064,3.634,18.708,9.939,6.923,1.856,0,5.95,12.821,6.412,4.797
00:bin_000007,0,3.765,3.003,1.114,1.878,1.965,1.796,2.486,1.361,4.541,5.888,3.583,3.019,2.284,2.109,1.371,0,0,1.3,5.415,3.289,4.916,3.151,2.963,2.126,3.61,2.168,2.112,3.646,3.334,4.674,3.095,2.868,4.198,0,0,2.303,0,3.129,3.654,0,2.094,0,2.011,3.046,2.275,4.033,4.522,1.195,2.084,4.984,0,2.06,2.987,2.729,3.499,3.688,2.752,3.406,60.103,1.676,3.284,3.266,1.231,2.095,3.918,2.714,2.416,0,2.377,2.512,2.488,3.984,4.32,1.774,2.077,2.393,2.036,2.104,0,5.832,5.355,1.664,2.551
00:bin_000010,0,1.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000015,0,1.443,0,0.773,1.232,0.906,0,0.965,0.611,0.843,0,1.403,0.865,0,0,0.838,0,0,0,1.32,0.894,1.158,1.755,1.165,0,1.484,1.545,0.707,0,1.263,1.206,1.331,1.175,2.173,2.492,0,1.394,0,1.557,0,0,0.776,0,0,1.296,0,2.034,1.51,0,0,1.475,0,0.941,1.81,1.73,0.68,0,1.527,0,18.886,0,1.284,0.751,0,1.078,1.463,0,1.273,0,0,1.923,0,1.587,1.3,1.189,1.089,0,0,0,0,1.768,1.369,0.755,0
00:bin_000024,0,4.865,0,1.989,3.025,1.095,1.513,2.085,0.887,1.011,0,0,1.831,1.966,1.931,0,0,0,0,1.866,1.766,2.239,1.088,2.447,1.437,2.299,1.042,0.84,1.587,3.033,0,1.297,2.255,1.972,1.796,0,1.913,6.429,2.103,1.34,0,2.116,0,1.077,1.126,1.856,1.695,1.828,0,0,3.671,0,0.949,1.282,2.099,1.747,0,0,0,83.338,0,2.985,1.574,1.082,1.292,1.789,0,3.504,0,2.249,1.145,0,3.252,1.389,1.1,1.872,3.715,0.859,1.383,0,1.595,7.859,1.627,1.397
00:bin_000030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000037,0,0,1.41,0,0,0,0.861,0,0,1.427,0,1.599,1.528,0,0.977,0,0,0,0,1.379,1.255,1.302,1.218,1.249,0,2.855,0.944,0,0,1.815,0,2.234,1.175,2.479,0,0,0,0,0,0,0,0,0,0,0,0,1.014,1.931,0,0,1.253,0,0,0,1.374,1.179,0,0,0,24.529,1.212,1.522,1.294,0,0.786,1.257,0,1.134,0,0,0,0,1.852,1.089,0.853,0.787,0,0.82,1.151,0,1.63,1.886,0.694,0
00:bin_000040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000043,0,0,0,0,0,0,1.081,0,0,0,0,0,0,0,0,0.903,0,0,0,0,0,0.895,0,1.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0.959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.938,0,0,0,0,0,0,0,0,0,0,0.717,0,0
