genome,M304733,M304721,M304633,M304642,M304706,M304700,M304631,M304643,M304637,M304732,M304698,M304603,M304724,M304717,M304641,M304736,M304612,M304697,M304699,M304597,M304608,M304723,M304623,M304735,M304731,M304714,M304695,M304640,M304715,M304720,M304621,M304738,M304725,M304606,M304619,M304708,M304607,M304709,M304622,M304615,M304620,M304726,M304718,M304639,M304605,M304710,M304703,M304632,M304602,M304711,M304600,M304625,M304628,M304617,M304716,M304609,M304729,M304613,M304707,M304705,M304604,M304610,M304730,M304727,M304627,M304618,M304712,M304601,M304634,M304737,M304635,M304734,M304701,M304624,M304693,M304694,M304596,M304722,M304696,M304704,M304614,M304638,M304598,M304630
00:bin_000002,10.134,25.933,20.361,8.223,23.617,11.276,4.334,15.299,12.496,13.483,16.639,30.501,29.28,11.952,6.335,8.335,7.241,21.766,28.879,6.628,15.648,9.247,9.888,14.43,0,1.74,24.137,4.864,31.009,20.187,17.631,10.333,13.742,5.02,45.817,3.259,61.712,6.449,5.111,0,17.602,7.69,5.818,16.335,14.834,14.568,0,18.076,3.374,6.316,6.036,13.715,10.925,8.484,28.081,11.561,12.26,2.761,33.354,6.65,0,10.605,20.033,9.789,4.782,6.13,6.369,17.638,4.983,17.21,10.542,4.621,18.435,7.111,11.951,8.43,27.711,16.052,16.89,0,0,34.068,5.11,19.26
00:bin_000004,30.912,94.822,46.94,23.969,60.45,49.562,11.681,21.287,123.024,91.033,28.291,49.897,28.442,56.009,10.107,36.917,28.107,138.785,47.346,14.994,47.646,22.201,17.66,32.26,0,3.546,45.145,15.267,29.463,136.41,26.729,24.181,72.64,20.883,70.993,24.891,50.623,21.412,21.54,0,75.873,20.017,28.014,31.042,83.595,30.055,0,49.921,18.692,22.505,16.397,31.793,45.067,96.697,56.039,23.066,30.721,12.446,50.329,23.209,2.115,55.694,94.491,33.448,23.299,15.292,18.699,55.657,31.27,41.55,33.286,28.344,42.705,36.33,38.277,54.666,76.047,38.834,59.151,1.957,0,63.085,25.513,30.593
00:bin_000007,17.493,26.874,16.964,16.005,17.782,20.399,3.379,19.361,14.406,15.212,16.902,15.148,16.185,20.238,2.519,9.831,5.843,39.648,18.246,9.022,19.831,13.772,10.676,11.919,0,1.331,21.469,4.654,21.426,25.251,11.165,8.504,10.469,6.177,34.038,5.317,16.637,7.656,7.755,0,14.527,6.79,7.224,13.23,18.028,8.955,0,15.281,10.558,7.403,4.799,9.207,15.947,20.759,19.633,11.494,15.108,2.96,22.624,11.807,0,22.534,25.285,14.444,4.677,6.13,10.522,22.575,9.56,10.988,10.975,10.701,22.159,10.54,12.685,15.576,29.25,12.423,17.745,0,0,32.62,15.294,12.477
00:bin_000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000015,32.173,44.971,26.638,29.24,35.113,36.062,8.796,35.416,36.643,32.762,28.41,32.965,34.474,36.892,2.311,18.185,12.942,69.202,32.239,12.276,33.476,20.988,17.745,19.47,0,3.394,55.928,10.396,35.286,55.462,16.856,19.29,18.316,11.141,71.981,14.681,31.333,13.522,11.877,0,27.88,23.186,15.119,23.861,42.428,15.921,0,40.544,22.336,17.045,12.659,17.885,41.119,31.378,31.826,18.917,24.605,6.212,35.156,22.776,0,36.007,45.654,31.05,16.923,8.465,17,58.759,23.631,30.208,20.593,27.371,35.124,22.039,31.139,39.831,81.957,23.889,37.836,1.762,0,58.394,29.434,34.437
00:bin_000024,5.567,14.488,3.924,3.953,6.498,6.692,0,8.448,3.956,3.754,7.325,4.163,3.721,4.942,0,3.825,2.582,17.63,11.235,1.828,6.045,4.98,1.733,3.339,0,0.611,7.68,1.716,8.071,8.29,4.524,4.245,2.563,0,12.91,0,6.601,1.665,2.751,0,4.513,1.807,5.108,4.586,5.789,3.767,0,6.727,4.088,1.676,2.25,2.028,3.803,5.604,6.813,6.502,4.252,0,6.765,3.735,0,4.622,10.312,4.172,2.573,0,3.599,7.895,5.655,6.777,2.364,2.522,3.876,2.516,5.53,4.758,11.049,2.539,6.908,0,0,11.946,7.55,3.004
00:bin_000030,3.482,4.766,3.107,2.372,3.971,2.263,0,3.276,2.752,4.182,3.318,2.618,3.606,4.261,0,2.357,1.673,4.011,1.549,1.461,2.544,0,1.674,1.331,0,0,4.289,0,2.34,5.438,0,3.158,2.103,1.419,4.23,1.869,3.734,2.054,1.346,0,1.741,0,1.879,0,2.369,0,0,4.489,1.789,1.586,2.035,1.454,4.145,2.72,2.845,2.195,1.864,0,5.219,2.26,0,4.506,3.422,4.078,1.971,0,1.574,8.468,0,2.822,2.207,2.873,2.77,2.665,1.893,3.665,4.688,0,3.861,0,0,4.427,3.196,2.082
00:bin_000037,2.285,5.193,6.193,4.75,7.573,3.98,0,3.662,1.869,4.431,4.091,0,4.21,4.236,0,3.14,1.741,10.132,3.378,1.102,3.901,1.797,3.016,2.126,0,0,5.396,2.187,5.832,3.445,2.482,0,2.016,1.48,7.557,2.042,2.822,2.951,2.41,0,2.309,2.754,1.865,1.988,2.721,2.142,0,7.74,0,1.57,1.339,5.366,3.457,4.118,3.746,1.393,4.048,0,6.788,1.455,0,4.099,5.738,3.002,1.796,1.554,2.45,7.496,2.803,3.073,2.568,1.792,5.757,0,1.863,2.134,6.41,3.722,3.616,0,0,9.36,5.13,4.933
00:bin_000040,0,4.464,6.315,1.494,2.002,3.626,0,3.264,1.918,0,3.888,2.718,8.528,0,2.573,0,1.313,3.554,2.371,0,4.926,0,0,0,0,0,1.658,0,3.1,3.487,0,3.007,3.788,0,5.647,0,0,0,0,0,3.495,0,1.54,2.887,2.219,0,0,2.271,1.777,1.541,0,4.143,2.329,0,1.672,0,1.37,0,3.254,1.45,0,2.223,3.806,6.187,1.203,0,0,2.501,2.982,1.862,0,0,3.42,2.14,0,6.478,6.111,4.201,4.544,0,0,4.916,0,2.284
00:bin_000043,6.229,1.936,0,3.225,7.279,4.535,0,3.167,0,9.698,4.378,4.516,7.231,3.923,0,4.973,0,9,8.35,0,1.475,0,2.111,3.62,0,0,9.229,0,4.665,2.405,0,3.658,2.076,0,5.527,2.828,0,2.252,0,0,0,3.806,0,0,0,1.841,0,0,2.916,4.182,2.248,2.018,0,0,1.713,0,5.917,0,5.769,6.377,0,0,6.148,6.4,4.678,0,4.909,5.737,1.976,4.946,2.134,3.405,4.123,0,4.529,2.815,3.289,1.579,5.712,0,0,2.111,4.497,0
