genome,M305503,M305392,M305364,M305409,M305461,M305387,M305497,M305393,M305401,M305491,M305495,M305478,M305391,M305395,M305500,M305492,M305460,M305498,M305485,M305501,M305462,M305370,M305399,M305373,M305380,M305494,M305480,M305465,M305468,M305476,M305467,M305479,M305394,M305369,M305504,M305473,M305371,M305463,M305482,M305389,M305402,M305368,M305405,M305388,M305471,M305472,M305367,M305483,M305383,M305408,M305378,M305375,M305486,M305379,M305386,M305466,M305484,M305403,M305372,M305400,M305382,M305365,M305499,M305377,M305398,M305470,M305397,M305496,M305488,M305475,M305490,M305381,M305507,M305406,M305410,M305407,M305404,M305469,M305374,M305384,M305506,M305489,M305505,M305477
00:bin_000002,4.65,6.576,6.059,9.256,4.655,4.321,5.041,21.583,27.602,9.842,7.335,7.789,9.879,8.309,8.222,10.392,6.104,6.103,0,25.913,26.409,10.077,7.389,0,4.82,11.964,19.398,20,1.817,17.442,10.344,12.127,12.431,10.825,0,17.127,6.32,3.77,0,3.284,0,16.026,4.246,9.13,10.106,15.281,0,27.243,20.919,4.363,6.969,18.205,5.871,6.459,1.59,6.663,10.837,0,9.394,19.784,0,3.85,9.039,7.546,6.783,8.462,7.287,17.324,1.914,2.444,12.233,1.157,20.062,3.24,4.826,6.509,2.623,5.614,9.608,16.012,4.791,3.763,0,0
00:bin_000004,0,0,0,0,0,0,0,1.283,2.017,1.522,0,0,0,0,0,4.243,0,4.751,0,1.592,2.072,3.547,0,0,0,0,3.32,2.217,0,2.675,0,0,0,0,0,1.772,1.955,0,0,0,0,0.851,0,0,2.012,0,0,1.426,2.696,0.985,0,1.947,0,2.972,0,0,0,0,0,0,2.319,0,0,0,1.293,0,0,1.775,0,0,0,0.967,1.162,1.517,0,0,1.453,0,0,0.952,0,0,0,0
00:bin_000007,0,3.642,0,4.349,0,0,0,2.322,5.598,1.694,2.149,0,2.815,1.575,0,0,0,1.411,0,3.825,2.733,3.365,1.984,0,0,0,7.982,4.271,0,3.482,2.824,2.127,3.183,4.048,0,3.385,2.609,0,0,0,0,4.508,1.688,0,0,2.337,0,6.421,2.455,0,4.276,6.888,0,2.758,0,2.065,1.796,0,1.908,5.107,0,0,0,0,0,2.574,0,3.028,0,0,2.74,0,3.586,0,0,0,0,0,4.778,4.693,1.822,1.636,0,0
00:bin_000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000015,4.78,13.462,13.942,18.741,3.849,4.05,8.122,14.641,22.339,13.503,12.144,7.866,11.289,7.194,7.22,17.416,9.052,6.77,0,26.695,19.635,23.348,8.086,1.832,3.501,13.759,32.554,14.401,2.683,19.378,24.805,20.214,17.478,12.456,0,18.143,4.801,2.532,0,7.189,0,23.056,6.277,5.588,10.788,13.768,0,32.807,35.266,7.18,18.781,34.101,7.752,11.767,0,13.916,16.164,0,14.904,19.932,0,7.793,12.33,14.595,13.914,12.028,6.732,12.282,4.966,0,10.75,4.398,19.498,4.223,2.675,5.178,5.212,7.448,12.945,26.779,8.602,6.829,0,0
00:bin_000024,0,0,0,3.608,0,0,0,0,0,0,0,1.583,0,0,0,0,0,0,0,2.278,0,0,0,0,0,0,2.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.574,0,0,0,2.214,0,2.647,0,0,0,3.694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,0,0,0,0
00:bin_000030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000040,0,0,0,0,0,0,0,0,2.909,1.462,0,0,0,0,0,0,0,0,0,1.985,0,0,1.294,0,0,0,3.777,3.013,0,2.956,0,0,0,0,0,0,0,0,0,0,0,1.199,1.25,0,0,1.596,0,1.728,2.579,0,0,2.571,0,0,1.039,0,0,0,0,0,0,0,0,1.519,2.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00:bin_000043,0,0,0,0,0,0,0,0,1.858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.882,0,0,0,0,0,0,0,0,0,0,0,0.971,0,0,0,0,0,2.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
